CHR	arm	gene	dmr.no	Chr	dmr.start	dmr.end	dmr.size	dmr.core.start	dmr.core.end	dmr.core.size	X01_AVG	X11_AVG	deltaBeta	dmr.p	dmr.p.rank	Methylation
blca	q	TET1	4011	chr10	70321440	70322073	634	70321554	70321959	406	0.521901882	0.294978816	-0.226923066	6.43E-36	800	hyper
brca	q	TET1	5839	chr10	70320018	70320070	53	70320037	70320051	15	0.096743772	0.035227606	-0.061516166	1.15E-13	7745	hyper
brca	q	TET1	5840	chr10	70321440	70324246	2807	70321554	70322874	1321	0.60154967	0.463435446	-0.138114225	4.02E-83	1713	hyper
coad	q	TET1	3605	chr10	70320018	70320070	53	70320037	70320051	15	0.086550192	0.035301522	-0.05124867	0.00046486	6261	hyper
coad	q	TET1	3606	chr10	70321440	70324248	2809	70321554	70322874	1321	0.664395978	0.588491078	-0.0759049	2.55E-28	1849	hyper
esca	q	TET1	1515	chr10	70321460	70321782	323	70321554	70321668	115	0.453996657	0.306191898	-0.147804759	0.000392965	2473	hyper
hnsc	q	TET1	5203	chr10	70321440	70322073	634	70321554	70321959	406	0.49273762	0.300403874	-0.192333746	1.96E-75	983	hyper
kirp	q	TET1	3300	chr10	70321440	70322073	634	70321554	70321959	406	0.514977676	0.314957467	-0.200020208	9.24E-45	889	hyper
luad	q	TET1	3881	chr10	70321440	70322073	634	70321554	70321959	406	0.444609082	0.326728213	-0.117880869	1.09E-30	1509	hyper
lusc	q	TET1	6626	chr10	70321440	70324248	2809	70321554	70322874	1321	0.481362599	0.386431128	-0.094931471	3.85E-34	3142	hyper
prad	q	TET1	5407	chr10	70321440	70324248	2809	70321554	70322874	1321	0.660460195	0.44186241	-0.218597786	3.16E-141	138	hyper
thca	q	TET1	4011	chr10	70321440	70322073	634	70321554	70321959	406	0.521901882	0.294978816	-0.226923066	6.43E-36	800	hyper
blca	q	VWCE	4512	chr11	61048914	61049836	923	61049230	61049520	291	0.339065865	0.495210712	0.156144847	1.34E-09	4611	hypo
kirp	q	VWCE	3683	chr11	61048914	61049836	923	61049230	61049520	291	0.711214436	0.492766966	-0.21844747	2.65E-35	1190	hyper
prad	q	VWCE	6094	chr11	61048914	61049836	923	61049230	61049520	291	0.66219645	0.583667711	-0.078528739	4.45E-11	6836	hyper
thca	q	VWCE	4512	chr11	61048914	61049836	923	61049230	61049520	291	0.339065865	0.495210712	0.156144847	1.34E-09	4611	hypo
