chr15	89345951	89347024	ACAN
chr16	10276435	10277501	GRIN2A
chr6	32632183	32633188	HLA_DQB1
chr6	32558232	32559239	HLA_DRB1
chr6	29910703	29911251	HLA_A
chr17	75447296	75447880	SEPT9
chr5	374135	374471	AHRR
chr10	103536092	103536593	FGF8
chr3	157812139	157812762	SHOX2
chr19	16999346	17000117	F2RL3
chr1	17634426	17634894	PADI4
chr20	61340262	61340678	NTSR1
chr18	74961548	74962625	GALR1
chr3	148415323	148416076	AGTR1
chr5	112072997	112073866	APC
chr14	95237019	95237833	GSC
chr22	19137281	19137817	GSC2
chr9	5449910	5450762	PDL1
chr15	58357519	58358129	ALDH1A2
chr2	106681757	106682419	C2orf40
chr5	115152095	115152722	CDO1
chr18	5543098	5543678	EPB41L3
chr6	133562083	133563297	EYA4
chr4	126237399	126238270	FAT4
chr13	28674035	28674706	FLT3
chr20	61050194	61051180	GATA5
chr13	92050901	92051465	GPC5
chr9	110249647	110250224	KLF4
chr4	87281073	87281728	MAPK10
chr15	88798169	88799147	NTRK3
chr4	134071501	134072300	PCDH10
chr8	41165838	41167163	SFRP1
chr11	113930307	113931106	ZBTB16
chr12	95941859	95942589	USP44
chr10	99790574	99791164	CRTAC1
chr8	1649168	1649805	DLGAP2
chr2	51259087	51260014	NRXN1
chr20	17206516	17206967	PCSK2
chr1	242686991	242687798	PLD5
chr7	97360968	97361614	TAC1
chr12	128751314	128752227	TMEM132C
chr7	49812970	49813716	VWC2
chr19	58951185	58951575	ZNF132
chr2	66802849	66804923	LINC01798
chr14	62583110	62585084	LINC00643
chr1	2984282	2984955	LINC00982
chr15	95869870	95870373	LINC01197
chr19	46800065	46800567	HIF3A
chr8	26721824	26722544	ADRA1A
chr4	42153337	42153946	BEND4
chr3	170136932	170137718	CLDN11
chr1	207669361	207670016	CR1
chr5	76249314	76249937	CRHBP
chr8	65710917	65711463	CYP7B1
chr2	220283079	220283635	DES
chr18	67067519	67068495	DOK6
chr1	217310578	217311248	ESRRG
chr8	21646957	21647728	GFRA2
chr11	30038306	30038889	KCNA4
chr8	99439288	99439980	KCNS2
chr6	28226712	28227193	NKAPL
chr6	142409285	142409939	NMBR
chr12	5541130	5541745	NTF3
chr19	38746751	38747213	PPP1R14A
chr1	154474289	154474981	SHE
chr1	47696018	47697054	TAL1
chr6	134209845	134210863	TARID
chr6	134210028	134211195	TCF21
chr16	58018492	58018899	TEPP
chr12	29935875	29936786	TMTC1
chr7	158936941	158937543	VIPR2
