	CHR	START	END	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7	V8	Symbol.1	Estimate	Std..Error	t.value	Pr...t..
cg18115040	chr2	176981178	176981479	0.001401949	2.698603357	HOXD10	chr2	176981328	176981329	cg18115040	HOXD10	R	Island	I	HOXD10	-5.95E-06	6.67E-07	-8.921618475	1.66E-18
cg01031101	chr6	28226941	28227242	0.000852369	2.126268143	NKAPL	chr6	28227091	28227092	cg01031101	NKAPL	F	Island	I	NKAPL	-1.71E-05	5.42E-07	-31.58652201	2.73E-160
cg05979020	chr2	176981186	176981487	0.00098602	1.859061428	HOXD10	chr2	176981336	176981337	cg05979020	HOXD10	R	Island	I	HOXD10	-5.95E-06	6.67E-07	-8.921618475	1.66E-18
cg18694169	chr6	28226929	28227230	0.000993452	1.522836522	NKAPL	chr6	28227079	28227080	cg18694169	NKAPL	R	Island	I	NKAPL	-1.71E-05	5.42E-07	-31.58652201	2.73E-160
cg00579520	chr12	128752436	128752737	0.000917639	1.27618539	TMEM132C	chr12	128752586	128752587	cg00579520	TMEM132C	F	Island	II	TMEM132C	-1.53E-06	5.59E-08	-27.27747407	3.74E-128
cg11618529	chr19	58951958	58952259	0.000663003	1.254159002	ZNF132	chr19	58952108	58952109	cg11618529	ZNF132	R	Island	II	ZNF132	-4.67E-06	3.84E-07	-12.15438071	3.70E-32
cg14410016	chr2	176986509	176986810	0.000388348	0.999050921	HOXD9	chr2	176986659	176986660	cg14410016	HOXD9	F	Island	I	HOXD9	-1.13E-06	1.26E-07	-8.959779968	1.20E-18
cg09523275	chr6	28226943	28227244	0.000629094	0.973342005	NKAPL	chr6	28227093	28227094	cg09523275	NKAPL	F	Island	II	NKAPL	-1.71E-05	5.42E-07	-31.58652201	2.73E-160
cg05937737	chr3	170303390	170303691	0.000340593	0.831932299	SLC7A14	chr3	170303540	170303541	cg05937737	SLC7A14	F	Island	I	SLC7A14	-6.25E-05	7.17E-06	-8.716374804	9.28E-18
cg02025583	chr17	10632711	10633012	0.00032361	0.360964597	TMEM220	chr17	10632861	10632862	cg02025583	TMEM220	F	Island	II	TMEM220	-7.23E-06	1.76E-07	-40.98305752	3.69E-231
cg15000841	chr11	64815492	64815793	0.000326673	0.330180706	NAALADL1	chr11	64815642	64815643	cg15000841	NAALADL1	F	Island	II	NAALADL1	-1.08E-05	6.29E-07	-17.23143132	1.09E-59
cg23288059	chr14	38724795	38725096	0.000251479	0.256116184	CLEC14A	chr14	38724945	38724946	cg23288059	CLEC14A	F	Island	II	CLEC14A	-7.33E-07	4.01E-08	-18.25486462	5.71E-66
cg08065657	chr19	52222949	52223250	0.000210172	0.22616579	HAS1	chr19	52223099	52223100	cg08065657	HAS1	R	Island	II	HAS1	-1.51E-06	1.71E-07	-8.816570597	4.02E-18
cg21838979	chr2	106681795	106682096	6.23E-05	0.209159069	C2orf40	chr2	106681945	106681946	cg21838979	C2orf40	F	N_Shore	II	C2orf40	-4.77E-07	2.94E-08	-16.23796222	8.38E-54
cg08044097	chr8	55370863	55371164	5.59E-05	0.165429298	SOX17	chr8	55371013	55371014	cg08044097	SOX17	R	Island	II	SOX17	-2.20E-06	1.06E-07	-20.80661601	1.82E-82
cg05057720	chr14	38724525	38724826	0.000312002	0.15375147	CLEC14A	chr14	38724675	38724676	cg05057720	CLEC14A	R	Island	I	CLEC14A	-7.33E-07	4.01E-08	-18.25486462	5.71E-66
cg15513743	chr1	119528538	119528839	0.000361307	0.119507506	TBX15	chr1	119528688	119528689	cg15513743	TBX15	R	N_Shore	I	TBX15	-1.47E-06	7.90E-08	-18.57011321	6.04E-68
cg17279839	chr7	150038448	150038749	0.000144633	0.099049091	RARRES2	chr7	150038598	150038599	cg17279839	RARRES2	R	Island	II	RARRES2	-9.24E-08	8.76E-09	-10.5420349	6.37E-25
cg16830930	chr8	55371242	55371543	0.000397513	0.092318265	SOX17	chr8	55371392	55371393	cg16830930	SOX17	F	Island	I	SOX17	-2.20E-06	1.06E-07	-20.80661601	1.82E-82
cg08297751	chr4	174448555	174448856	0.000236172	0.078413238	HAND2	chr4	174448705	174448706	cg08297751	HAND2	R	Island	I	HAND2	-3.48E-06	5.20E-07	-6.689061223	3.42E-11
cg19594666	chr7	127881130	127881431	5.76E-05	0.07463259	LEP	chr7	127881280	127881281	cg19594666	LEP	R	Island	I	LEP	-1.36E-07	5.59E-09	-24.24888228	3.12E-106
cg02885007	chr2	176987455	176987756	0.00010236	0.069990687	HOXD9	chr2	176987605	176987606	cg02885007	HOXD9	R	Island	I	HOXD9	-1.13E-06	1.26E-07	-8.959779968	1.20E-18
cg20794824	chr3	170138055	170138356	0.000137824	0.069249523	CLDN11	chr3	170138205	170138206	cg20794824	CLDN11	R	S_Shore	II	CLDN11	-3.26E-06	1.00E-07	-32.42437937	1.30E-166
cg05903330	chr22	39541986	39542287	0.000302126	0.068043759	CBX7	chr22	39542136	39542137	cg05903330	CBX7	F	Island	II	CBX7	-2.46E-06	8.54E-08	-28.84379661	9.67E-140
