leftID	chrom.L	txStart.L	txEnd.L	pValue.L	foldChange.L	regulation.L	rightID	chrom.m	txStart.m	txEnd.m	pValue.m	foldChange.m	regulation.m	corr.pvalue	correlation	ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
130	SPECC1L-ADORA2A	chr22	24666784	24838328	4.18e-05	2.7965033	up	TIMP3	chr22	33258540	33258599	0.000958	2.2158372	down	0.000108984	-0.927784287	201148_s_at	0.019003	0.000111	5.0489793	1.42135	0.981776	TIMP3
11440	TNFRSF10B	chr8	22877647	22926700	0.000539	2.1449409	up	SNTB1	chr8	121550176	121550117	9.75e-06	3.36501	down	0.00011183	-0.92730675	214708_at	0.728848	0.374	0.9135972	-5.81411	0.258992	SNTB1
10915	TNFRSF10B	chr8	22877647	22926700	0.000539	2.1449409	up	PLEKHA2	chr8	38831317	38831376	0.002585813	3.268461	down	0.000190267	-0.916705242	217677_at	0.707295	0.347	0.9692972	-5.76344	0.3900464	PLEKHA2
2031	RP11-809O17.1-002	chr8	142136390	142140060	0.002839346	2.0926874	up	PNMA2	chr8	26362941	26362882	0.001460004	2.3615518	down	0.000250854	-0.910575537	209598_at	0.190358	0.0174	2.6467893	-3.27615	0.6269394	PNMA2
17536	linc-TAGAP-1	chr6	160007988	160015671	2.43e-06	5.098886	up	GJA1	chr6	121770327	121770386	0.001724206	2.4505248	down	0.000277832	-0.908194701	201667_at	0.910339	0.716	0.3696251	-6.15976	0.0780935	GJA1
17536.1	LOC100130476	chr6	138144806	138189370	0.000159	5.320845	up	GJA1	chr6	121770327	121770386	0.001724206	2.4505248	down	0.000311916	-0.905418541	201667_at	0.910339	0.716	0.3696251	-6.15976	0.0780935	GJA1
17536.2	linc-TAGAP-1	chr6	159990580	160016234	0.000519	3.4325306	up	GJA1	chr6	121770327	121770386	0.001724206	2.4505248	down	0.000323699	-0.904510816	201667_at	0.910339	0.716	0.3696251	-6.15976	0.0780935	GJA1
15194	RP11-212I21.4-001	chr16	55572112	55575939	0.000679	2.1188295	up	MT2A	chr16	56643332	56643391	0.000206	2.227844	down	0.000343702	-0.903023764	212185_x_at	0.85012	0.58	0.5651198	-6.06782	0.0844176	MT2A
14880	WISP1	chr8	134203281	134243932	0.000126	5.3132763	down	SLCO5A1	chr8	70585075	70585016	0.000374	3.6123142	up	0.000172041	-0.918829325	220984_s_at	0.841948	0.562	-0.5914983	-6.05257	-0.2171438	SLCO5A1
9960	SNORD3A-001	chr17	19091329	19092027	4.55e-05	10.946628	down	CCR10	chr17	40831479	40831420	5e-05	2.8123553	up	0.000217239	-0.913821521	220565_at	0.675368	0.302	-1.0660265	-5.66918	-0.2686179	CCR10
12476	FR264384	chr9	2653919	2654254	0.010266029	2.6723323	down	NINJ1	chr9	95883839	95883780	2.3e-05	2.428542	up	0.000240395	-0.911549281	203045_at	0.769175	0.431	-0.8080753	-5.90264	-0.1651909	NINJ1
1415	LINC00968-003	chr8	57432874	57472243	0.000112	2.6846414	down	TNFRSF10B	chr8	22877835	22877776	0.001095426	2.0357513	up	0.000367678	-0.901322864	209295_at	0.135402	0.0086	-2.9845877	-2.63468	-0.5107465	TNFRSF10B
928	FR344093	chr10	60502900	60507641	0.009353799	2.004844	down	IFIT2	chr10	91066613	91066672	0.014153058	3.0428305	up	0.00038333	-0.900255929	217502_at	0.091468	0.00381	-3.3693516	-1.88154	-0.5525265	IFIT2
