leftID	chrom.L	txStart.L	txEnd.L	pValue.L	foldChange.L	regulation.L	rightID	chrom.m	txStart.m	txEnd.m	pValue.m	foldChange.m	regulation.m	corr.pvalue	correlation	ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
5191	RP11-356I2.4-006	chr6	138175999	138179185	0.000166	6.640164	up	PRDM1	chr6	106555123	106555182	0.001767498	1.8533554	down	0.000105828	-0.928324853	ILMN_2414165	0.85773	0.0942	1.841855	-4.1341	0.20375674	PRDM1
11134	SPECC1L-ADORA2A	chr22	24666784	24838328	4.18e-05	2.7965033	up	TIMP3	chr22	33258540	33258599	0.000958	2.2158372	down	0.000108984	-0.927784287	ILMN_1701461	0.90099	0.212	1.3296842	-4.6563	0.34215471	TIMP3
9641	TNFRSF10B	chr8	22877647	22926700	0.000539	2.1449409	up	SNTB1	chr8	121550176	121550117	9.75e-06	3.36501	down	0.00011183	-0.92730675	ILMN_1793410	0.89216	0.182	1.4289809	-4.5622	0.28993835	SNTB1
1869	linc-SCYL1-2	chr11	65222664	65234212	0.002968378	2.564589	up	FTH1	chr11	61732335	61732276	0.000282	1.8824344	down	0.000150626	-0.921548509	ILMN_1683146	0.84391	0.0335	2.4479472	-3.4441	0.42640273	FTH1
32653	PRLR	chr5	35048860	35118224	0.001501097	3.4644237	up	SPINK13	chr5	147665702	147665761	0.001754624	2.577005	down	0.000237889	-0.911787147	ILMN_1697543	0.97275	0.672	0.4362001	-5.2549	0.06815192	SPINK13
46262	linc-TAGAP-1	chr6	160007988	160015671	2.43e-06	5.098886	up	GJA1	chr6	121770327	121770386	0.001724206	2.4505248	down	0.000277832	-0.908194701	ILMN_1727087	0.99882	0.977	0.0300934	-5.3342	0.00610193	GJA1
46262.1	LOC100130476	chr6	138144806	138189370	0.000159	5.320845	up	GJA1	chr6	121770327	121770386	0.001724206	2.4505248	down	0.000311916	-0.905418541	ILMN_1727087	0.99882	0.977	0.0300934	-5.3342	0.00610193	GJA1
46262.2	linc-TAGAP-1	chr6	159990580	160016234	0.000519	3.4325306	up	GJA1	chr6	121770327	121770386	0.001724206	2.4505248	down	0.000323699	-0.904510816	ILMN_1727087	0.99882	0.977	0.0300934	-5.3342	0.00610193	GJA1
6878	LINC00473	chr6	166352947	166401527	0.018562943	2.4838865	down	HSPA1B	chr6	31797870	31797929	0.000752	2.9894967	up	0.000215937	-0.913954528	ILMN_1660436	0.87778	0.128	-1.655365	-4.3338	-0.30587614	HSPA1B
42104	SNORD3A-001	chr17	19091329	19092027	4.55e-05	10.946628	down	CCR10	chr17	40831479	40831420	5e-05	2.8123553	up	0.000217239	-0.913821521	ILMN_1666493	0.9929	0.883	-0.1503244	-5.325	-0.01583634	CCR10
31436	FR264384	chr9	2653919	2654254	0.010266029	2.6723323	down	NINJ1	chr9	95883839	95883780	2.3e-05	2.428542	up	0.000240395	-0.911549281	ILMN_1815086	0.96864	0.644	-0.4765496	-5.2397	-0.09462421	NINJ1
6878.1	LINC00473-002	chr6	166322290	166401410	0.01315444	2.2852929	down	HSPA1B	chr6	31797870	31797929	0.000752	2.9894967	up	0.000284291	-0.907650117	ILMN_1660436	0.87778	0.128	-1.655365	-4.3338	-0.30587614	HSPA1B
