leftID	chrom.L	txStart.L	txEnd.L	pValue.L	foldChange.L	regulation.L	rightID	chrom.m	txStart.m	txEnd.m	pValue.m	foldChange.m	regulation.m	corr.pvalue	correlation
RP11-356I2.4-006	chr6	138175999	138179185	0.000166	6.640164	up	PRDM1	chr6	106555123	106555182	0.001767498	1.8533554	down	0.000105828	-0.928324853
linc-C20orf111-BP	chr20	42839626	42855166	0.000499	2.0189	up	SPTLC3	chr20	13055000	13055059	0.00063	2.0198317	down	0.00010817	-0.927922627
SPECC1L-ADORA2A	chr22	24666784	24838328	4.18E-05	2.7965033	up	TIMP3	chr22	33258540	33258599	0.000958	2.2158372	down	0.000108984	-0.927784287
TNFRSF10B	chr8	22877647	22926700	0.000539	2.1449409	up	SNTB1	chr8	121550176	121550117	9.75E-06	3.36501	down	0.00011183	-0.92730675
linc-DHX37-4	chr12	127215097	127221919	0.000624	2.7251575	up	TENC1	chr12	53457567	53457626	0.00047	2.0793262	down	0.00012969	-0.924498139
linc-DHX37-4	chr12	127215097	127221919	0.000624	2.7251575	up	TENC1	chr12	53457567	53457626	0.00047	2.0793262	down	0.00012969	-0.924498139
linc-SCYL1-2	chr11	65222664	65234212	0.002968378	2.564589	up	FTH1	chr11	61732335	61732276	0.000282	1.8824344	down	0.000150626	-0.921548509
SLC16A7	chr12	60083117	60183635	0.000931	2.3448863	down	VAMP1	chr12	6575075	6575016	2.01E-05	2.259782	up	0.000152962	-0.921238492
WISP1	chr8	134203281	134243932	0.000126	5.3132763	down	SLCO5A1	chr8	70585075	70585016	0.000374	3.6123142	up	0.000172041	-0.918829325
TNFRSF10B	chr8	22877647	22926700	0.000539	2.1449409	up	PLEKHA2	chr8	38831317	38831376	0.002585813	3.268461	down	0.000190267	-0.916705242
LINC00473	chr6	166352947	166401527	0.018562943	2.4838865	down	HSPA1B	chr6	31797870	31797929	0.000752	2.9894967	up	0.000215937	-0.913954528
SNORD3A-001	chr17	19091329	19092027	4.55E-05	10.946628	down	CCR10	chr17	40831479	40831420	5.00E-05	2.8123553	up	0.000217239	-0.913821521
PRLR	chr5	35048860	35118224	0.001501097	3.4644237	up	SPINK13	chr5	147665702	147665761	0.001754624	2.577005	down	0.000237889	-0.911787147
FR264384	chr9	2653919	2654254	0.010266029	2.6723323	down	NINJ1	chr9	95883839	95883780	2.30E-05	2.428542	up	0.000240395	-0.911549281
RP11-809O17.1-002	chr8	142136390	142140060	0.002839346	2.0926874	up	PNMA2	chr8	26362941	26362882	0.001460004	2.3615518	down	0.000250854	-0.910575537
linc-TAGAP-1	chr6	160007988	160015671	2.43E-06	5.098886	up	GJA1	chr6	121770327	121770386	0.001724206	2.4505248	down	0.000277832	-0.908194701
LINC00473-002	chr6	166322290	166401410	0.01315444	2.2852929	down	HSPA1B	chr6	31797870	31797929	0.000752	2.9894967	up	0.000284291	-0.907650117
linc-SLC35F5-2	chr2	114579399	114647368	0.003796176	2.1704538	up	EHD3	chr2	31490569	31490628	0.001134535	2.647879	down	0.000285324	-0.907563893
linc-SLC35F5-2	chr2	114579399	114647368	0.003796176	2.1704538	up	EHD3	chr2	31490569	31490628	0.001134535	2.647879	down	0.000285324	-0.907563893
SNORD3A-001	chr17	19091329	19092027	4.55E-05	10.946628	down	HEXIM2	chr17	43247340	43247399	0.003213659	2.0492935	up	0.000288422	-0.907306569
LOC100130476	chr6	138144806	138189370	0.000159	5.320845	up	GJA1	chr6	121770327	121770386	0.001724206	2.4505248	down	0.000311916	-0.905418541
linc-TAGAP-1	chr6	159990580	160016234	0.000519	3.4325306	up	GJA1	chr6	121770327	121770386	0.001724206	2.4505248	down	0.000323699	-0.904510816
RP11-212I21.4-001	chr16	55572112	55575939	0.000679	2.1188295	up	MT2A	chr16	56643332	56643391	0.000206	2.227844	down	0.000343702	-0.903023764
linc-ZNF366-5	chr5	71870012	71876804	0.006646579	5.105096	up	AQPEP	chr5	115363220	115363279	0.013849491	1.9004331	down	0.000361636	-0.901743624
LINC00968-003	chr8	57432874	57472243	0.000112	2.6846414	down	TNFRSF10B	chr8	22877835	22877776	0.001095426	2.0357513	up	0.000367678	-0.901322864
LINC00473-002	chr6	166322290	166401410	0.01315444	2.2852929	down	HSPA1A	chr6	31785491	31785550	0.000344	3.0157561	up	0.000367918	-0.901306297
FR344093	chr10	60502900	60507641	0.009353799	2.004844	down	IFIT2	chr10	91066613	91066672	0.014153058	3.0428305	up	0.00038333	-0.900255929
