CHR	Dmr.Start	Dmr.End	Delta.beta	meth.Pvalue	Meth.Status	Gene.Symbol	Expression.FC	Expression.Pvalue	Expression.Status
15	74702777	74703243	0.0547015755974009	9.32568548096831e-29	Hypomethylation	SEMA7A	2.69	1.94286741426308e-57	Overexpression
10	81073466	81077493	0.0611333164899969	1.97854530883467e-22	Hypomethylation	ZMIZ1	1.17	3.74468897647128e-10	Overexpression
1	68299349	68299571	-0.0404006668382981	2.65145712259119e-15	Hypermethylation	GNG12	0.55	4.61100737729444e-29	lowexpression
11	68081066	68081398	-0.0537167306362272	9.77172287474849e-14	Hypermethylation	LRP5	0.66	2.31409249371568e-18	lowexpression
7	45018457	45018859	0.0286088268855897	1.4283259581624e-07	Hypomethylation	MYO1G	2.3	1.75407735530252e-24	Overexpression
10	81073466	81077493	0.0611333164899969	1.97854530883467e-22	Hypomethylation	ZMIZ1	1.17	3.74468897647128e-10	Overexpression
7	45018457	45018859	0.0286088268855897	1.4283259581624e-07	Hypomethylation	MYO1G	2.3	1.75407735530252e-24	Overexpression
14	74185095	74185577	-0.117084929059416	3.12740746341334e-117	Hypermethylation	C14orf43	0.85	2.50793204176279e-09	lowexpression
6	33238986	33240393	0.00750642151157287	5.30174720834302e-53	Hypomethylation	VPS52	1.28	9.00815619552312e-52	Overexpression
3	187454325	187454596	-0.0589171644900727	7.7659968513195e-13	Hypermethylation	BCL6	0.45	5.49143970929135e-33	lowexpression
1	15544371	15548373	0.0245634820327864	1.1453667223931e-14	Hypomethylation	TMEM51	1.56	3.1946981154295e-19	Overexpression
14	74185095	74185577	-0.117084929059416	3.12740746341334e-117	Hypermethylation	C14orf43	0.85	2.50793204176279e-09	lowexpression
7	157330375	157335406	0.185555443714623	8.14091553948234e-186	Hypomethylation	PTPRN2	2.72	4.6831204920495e-17	Overexpression
11	68081066	68081398	-0.0537167306362272	9.77172287474849e-14	Hypermethylation	LRP5	0.66	2.31409249371568e-18	lowexpression
7	27196238	27196850	-0.183858857667289	1.21797629193508e-162	Hypermethylation	HOXA7	0.27	1.91053322448065e-52	lowexpression
16	17562712	17563344	-0.17868757561547	3.29086344163118e-45	Hypermethylation	XYLT1	0.69	2.05363467148694e-09	lowexpression
2	69001458	69002186	-0.0318687337837675	6.72026610864709e-22	Hypermethylation	ARHGAP25	0.72	3.0644220754644e-12	lowexpression
2	235901887	235902289	0.0328786574026828	3.21074287853291e-11	Hypomethylation	SH3BP4	1.22	6.61306630974598e-07	Overexpression
