CHR	Dmr.Start	Dmr.End	Delta.beta	meth.Pvalue	Meth.Status	Gene.Symbol	Expression.FC	Expression.Pvalue	Expression.Status
1	1985495	1986919	0.117593735537266	3.76005359823072e-25	Hypomethylation	PRKCZ	1.77	5.30360011899712e-24	Overexpression
1	2013432	2014863	0.12586402471363	5.22199972860176e-51	Hypomethylation	PRKCZ	1.77	5.30360011899712e-24	Overexpression
1	2188451	2189343	-0.162242273031495	5.07106945668107e-51	Hypermethylation	SKI	0.62	2.14575288665285e-40	lowexpression
1	2222341	2222564	-0.283184526339034	9.95381577269049e-93	Hypermethylation	SKI	0.62	2.14575288665285e-40	lowexpression
1	2230460	2230809	-0.237457704075667	1.58486406064909e-199	Hypermethylation	SKI	0.62	2.14575288665285e-40	lowexpression
1	2984140	2984353	-0.139164767121072	1.39393741984064e-52	Hypermethylation	FLJ42875	0.23	1.05364848245224e-17	lowexpression
1	6656415	6657703	-0.121044760117437	1.57930961293937e-115	Hypermethylation	KLHL21	0.45	6.42523842632133e-45	lowexpression
1	10839249	10839775	0.185860446838878	8.61477757150496e-85	Hypomethylation	CASZ1	1.4	5.83765031137499e-12	Overexpression
1	12227684	12227966	-0.234359445002886	2.28834541678625e-71	Hypermethylation	TNFRSF1B	0.6	8.25085368861005e-13	lowexpression
1	14219966	14220421	-0.11322422820443	4.0829626901317e-19	Hypermethylation	PRDM2	0.71	2.71220062645512e-25	lowexpression
1	19665102	19665266	0.132833333646805	4.76018679929988e-21	Hypomethylation	CAPZB	1.32	5.19394144741551e-34	Overexpression
1	21900671	21901576	-0.26839567272383	5.65921771447588e-99	Hypermethylation	ALPL	0.42	2.78261466958094e-15	lowexpression
1	22141263	22141478	-0.132340972420465	7.81836775874816e-99	Hypermethylation	LDLRAD2	0.63	1.10503156669813e-06	lowexpression
1	22351329	22351485	-0.111891808540806	3.76390271738102e-18	Hypermethylation	HSPC157	0.79	8.78688333658586e-14	lowexpression
1	23495472	23495682	-0.170860988592065	1.75579360398958e-77	Hypermethylation	LUZP1	0.58	8.5238932857867e-39	lowexpression
1	27189238	27189358	0.12532992051491	3.1863446720416e-44	Hypomethylation	SFN	1.89	3.37161259163453e-08	Overexpression
1	27668396	27668470	0.15355317905006	9.54087101588501e-205	Hypomethylation	SYTL1	1.45	1.17580845996286e-08	Overexpression
1	27728917	27731069	-0.120683632241206	1.75802133965715e-46	Hypermethylation	WASF2	0.58	4.17151081334237e-52	lowexpression
1	32082952	32083072	-0.140698248079091	1.74900643002165e-36	Hypermethylation	HCRTR1	0.23	1.75235005659591e-16	lowexpression
1	32707055	32708336	-0.181449638524849	2.11093272941469e-175	Hypermethylation	MTMR9L	0.56	1.75984827240894e-25	lowexpression
1	38412318	38412912	-0.261480752249839	9.82979053494808e-160	Hypermethylation	INPP5B	0.71	8.64182180421247e-35	lowexpression
1	39023941	39026353	-0.135911666929235	2.04187805639166e-29	Hypermethylation	RRAGC	0.61	2.501884786776e-12	lowexpression
1	39044114	39044278	-0.157360696052542	6.04684992576211e-45	Hypermethylation	RRAGC	0.61	2.501884786776e-12	lowexpression
1	41119892	41119988	-0.320435879422696	3.11480725626647e-220	Hypermethylation	RIMS3	0.34	7.75002484080671e-28	lowexpression
1	43751338	43751668	0.16008906573846	2.03402568199679e-133	Hypomethylation	C1orf210	1.42	9.02621560299759e-10	Overexpression
1	45186986	45188274	0.100312101360076	2.79429917572018e-14	Hypomethylation	C1orf228	1.69	3.74906673513553e-12	Overexpression
1	47692501	47695522	-0.14487727953381	1.70673052444964e-97	Hypermethylation	TAL1	0.26	2.38927517751556e-30	lowexpression
1	47697347	47697578	-0.219869238138753	3.13536177224676e-55	Hypermethylation	TAL1	0.26	2.38927517751556e-30	lowexpression
1	51442604	51442916	-0.126307337125705	1.30867145514539e-24	Hypermethylation	CDKN2C	0.39	9.99750526569504e-08	lowexpression
1	53527352	53527495	-0.212384685479303	1.99615734828694e-112	Hypermethylation	PODN	0.45	1.79028496260425e-11	lowexpression
1	64937310	64937592	-0.313966435268369	2.17193319055525e-111	Hypermethylation	CACHD1	0.22	1.20956368252918e-60	lowexpression
1	76540050	76540170	-0.106564528634749	3.32183252826523e-24	Hypermethylation	ST6GALNAC3	0.25	5.37507111268741e-23	lowexpression
1	79472313	79472456	-0.387216727125847	0	Hypermethylation	ELTD1	0.31	2.19134630220909e-23	lowexpression
1	91870314	91870437	-0.179583053794694	1.21546496586982e-33	Hypermethylation	HFM1	0.29	9.15318931060623e-15	lowexpression
1	92012573	92012892	0.12219479922426	4.85279437630273e-36	Hypomethylation	CDC7	3.54	4.93391383728206e-98	Overexpression
1	95393078	95393198	-0.101232898435978	2.37108486177617e-13	Hypermethylation	CNN3	0.81	6.39908132823357e-12	lowexpression
1	99729750	99729826	-0.15047549665182	9.67332969583897e-74	Hypermethylation	LPPR4	0.45	4.8353082096516e-19	lowexpression
1	101702668	101702896	-0.106602980041319	5.31266121546176e-26	Hypermethylation	S1PR1	0.25	2.11589719850063e-28	lowexpression
1	111098130	111098355	-0.186497265437774	1.98379246205587e-56	Hypermethylation	KCNA2	0.13	1.0995347122411e-08	lowexpression
1	111743123	111743348	0.25364294980747	4.14070687499595e-127	Hypomethylation	DENND2D	1.64	2.28270958441512e-59	Overexpression
1	114429499	114430131	0.124729534671555	4.05327486759245e-25	Hypomethylation	BCL2L15	1.6	2.58162366642008e-09	Overexpression
1	119532014	119532135	-0.215391344676915	1.00690314958529e-107	Hypermethylation	TBX15	0.21	5.25621865492244e-11	lowexpression
1	151693162	151693282	0.189086515961939	4.61278433045898e-60	Hypomethylation	C1orf230	20.68	3.37956057452162e-34	Overexpression
1	153600657	153600970	0.121827229422822	8.14735408381933e-28	Hypomethylation	S100A13	1.24	2.15948081889064e-06	Overexpression
