CHR	arm	gene	dmr.no	dmr.start	dmr.end	dmr.size	dmr.core.start	dmr.core.end	dmr.core.size	X01_AVG	X11_AVG	deltaBeta	dmr.p	dmr.p.rank
1	p	NCRNA00115	1	763089	763154	66	763116	763127	12	0.0239791921005567	0.0156521144631823	-0.00832707763737446	2.27132781071714e-10	8656
1	p	LOC100130417	2	846725	850263	3539	846742	849540	2799	0.56732906051497	0.518036374127093	-0.049292686387877	1.92312097806734e-08	9291
1	p	FLJ39609	3	854688	854844	157	854766	854838	73	0.712615165241223	0.797457411769735	0.0848422465285119	1.50825949167326e-15	7343
1	p	SAMD11	4	870955	871111	157	870958	871057	100	0.305831246123807	0.249621812888092	-0.0562094332357146	3.93753307548747e-09	9064
1	p	SAMD11	5	879234	879556	323	879375	879415	41	0.882103761433474	0.819503852535367	-0.0625999088981075	4.14292302096091e-71	2108
1	p	KLHL17	6	896227	896394	168	896305	896316	12	0.0297953076045696	0.0261993196628709	-0.00359598794169873	6.31055038183162e-07	9771
1	p	C1orf170	7	915854	917893	2040	916058	917892	1835	0.57774728578865	0.634857882516826	0.0571105967281759	4.77217742162101e-55	2871
1	p	HES4	8	939128	944531	5404	939448	943647	4200	0.748161516136269	0.769063216038226	0.0209016999019571	3.83195870357399e-44	3591
1	p	AGRN	9	989164	989446	283	989224	989392	169	0.882361831868268	0.884674769582786	0.00231293771451746	1.45638745898398e-11	8305
1	p	C1orf159	10	1022759	1023397	639	1022900	1023319	420	0.875764787584873	0.760544857961948	-0.115219929622925	3.5093865675396e-268	134
1	p	RP11-465B22.5	11	1060701	1065912	5212	1061521	1065894	4374	0.83580605137017	0.825617133246533	-0.010188918123637	3.33954212052192e-45	3508
1	p	RP11-465B22.5	12	1073268	1080506	7239	1073424	1079879	6456	0.699067061035318	0.685401388979827	-0.013665672055491	1.58359088193334e-51	3087
1	p	MIR200B	13	1093953	1097426	3474	1094080	1097270	3191	0.759658723210614	0.689408562308821	-0.0702501609017933	2.92679874885566e-87	1576
1	p	MIR200B	14	1099481	1099733	253	1099563	1099651	89	0.404531937136076	0.628880950103946	0.22434901296787	1.92208328997031e-187	352
1	p	MIR200A	15	1102622	1107829	5208	1102833	1106175	3343	0.7881370668945	0.727513267804746	-0.060623799089754	1.22522391586504e-103	1199
1	p	TTLL10	16	1114822	1115211	390	1114912	1115083	172	0.869748093990967	0.850230644977539	-0.019517449013428	4.91898044521887e-13	7895
1	p	TTLL10	17	1117421	1122618	5198	1117473	1121086	3614	0.78042445657891	0.6994245697835	-0.0809998867954093	1.55554296895045e-222	225
1	p	TNFRSF18	18	1138959	1140247	1289	1139061	1140044	984	0.81074989021654	0.784674351627824	-0.0260755385887154	1.39509638584969e-16	7135
1	p	TNFRSF4	19	1144502	1144814	313	1144558	1144724	167	0.588578406891383	0.350260154103233	-0.23831825278815	2.32035823229738e-108	1118
1	p	UBE2J2	20	1209669	1209723	55	1209673	1209720	48	0.0297872023018611	0.0340579118227735	0.00427070952091241	2.64457897786722e-07	9646
1	p	SCNN1D	21	1216998	1217264	267	1217103	1217159	57	0.412922145992744	0.443768568480366	0.0308464224876224	1.04158001916664e-05	10176
1	p	ACAP3	22	1237951	1239903	1953	1238436	1239259	824	0.786304388227289	0.751298012865847	-0.035006375361442	3.26119358605375e-26	5422
1	p	MXRA8	23	1296072	1298460	2389	1296093	1297576	1484	0.466639716271328	0.27667339418784	-0.189966322083488	8.31366516599162e-76	1938
1	p	CCNL2	24	1334789	1334807	19	1334791	1334803	13	0.0149504157061007	0.0130651700232033	-0.0018852456828974	9.15224098128586e-11	8530
1	p	VWA1	25	1376890	1378826	1937	1377525	1378060	536	0.709330922641499	0.642515964822257	-0.0668149578192423	4.2187599500913e-18	6819
1	p	ATAD3C	26	1396008	1396247	240	1396086	1396169	84	0.654893327623141	0.581463126966694	-0.0734302006564472	9.60366010186929e-23	5943
1	p	ATAD3C	27	1397755	1398037	283	1397837	1398028	192	0.589222643653999	0.393754563706897	-0.195468079947102	2.0572649323449e-63	2402
1	p	ATAD3C	28	1403213	1404936	1724	1403857	1404170	314	0.73880312537491	0.699715568592013	-0.0390875567828974	1.45451623128556e-17	6930
1	p	SSU72	29	1486424	1488089	1666	1486459	1487538	1080	0.808814079801341	0.776866137118263	-0.0319479426830783	2.40498268888158e-16	7183
1	p	MIB2	30	1550743	1550806	64	1550770	1550779	10	0.0235169994814945	0.0211178860684639	-0.00239911341303056	1.31891685804379e-07	9550
1	p	CDK11B	31	1596442	1598364	1923	1597086	1597720	635	0.92651125218694	0.903560175814025	-0.0229510763729143	2.07573823412147e-40	3853
1	p	LOC728661	32	1606151	1606433	283	1606206	1606361	156	0.854184962219084	0.911405919827255	0.0572209576081715	1.45821265574473e-11	8306
1	p	CDK11B	33	1613388	1614325	938	1613704	1614009	306	0.884538280259364	0.903651219291774	0.0191129390324107	1.32866802527614e-11	8293
1	p	NADK	34	1682586	1684118	1533	1683176	1684095	920	0.885030249820646	0.89862327799617	0.0135930281755248	3.06836879460355e-06	10008
1	p	NADK	35	1688239	1689656	1418	1688883	1689610	728	0.902213440932709	0.888037538007929	-0.0141759029247793	3.06958376346279e-07	9665
1	p	NADK	36	1694747	1696229	1483	1695391	1695585	195	0.668171549151003	0.659042142650274	-0.00912940650072924	1.00495048316925e-05	10172
1	p	GNB1	37	1713862	1714083	222	1713944	1714001	58	0.18487270496068	0.127106172578694	-0.0577665323819855	1.01556891973628e-13	7732
1	p	GNB1	38	1718493	1719168	676	1718809	1718852	44	0.895080549916179	0.85323091729819	-0.0418496326179898	1.39734709787587e-18	6741
