CHR	Dmr.Start	Dmr.End	Delta.beta	meth.Pvalue	Meth.Status	Gene.Symbol	Expression.FC	Expression.Pvalue	Expression.Status
1	939128	944531	0.223564370057139	5.46012154328997e-124	Hypomethylation	HES4	2.03	9.0977255260167e-16	Overexpression
1	1022759	1023136	0.204925806816826	7.64331714004124e-29	Hypomethylation	C1orf159	2.05	1.49927061180686e-36	Overexpression
1	1237792	1239903	0.230925067502632	1.49204727397916e-119	Hypomethylation	ACAP3	1.77	5.24061061326064e-23	Overexpression
1	1267115	1267330	0.255353461585841	5.33226219081255e-100	Hypomethylation	TAS1R3	2.07	6.26467875344735e-07	Overexpression
1	3387597	3388512	0.203467844329638	2.10939149088389e-38	Hypomethylation	ARHGEF16	3.19	2.4005231267967e-64	Overexpression
1	3607019	3607194	0.382940453902767	2.6002697197057e-112	Hypomethylation	TP73	4.66	1.15908453198175e-34	Overexpression
1	3615074	3616078	0.357645652800436	1.24053756063031e-146	Hypomethylation	TP73	4.66	1.15908453198175e-34	Overexpression
1	6294627	6294909	0.250848819123271	1.16673010619857e-78	Hypomethylation	ICMT	1.27	2.20661115305757e-12	Overexpression
1	27189238	27189358	0.22485010818239	1.69403381508216e-92	Hypomethylation	SFN	6.87	1.67875099239197e-59	Overexpression
1	27668396	27668470	0.212827229882412	4.86614106329646e-193	Hypomethylation	SYTL1	2.33	4.23396372259265e-35	Overexpression
1	34174853	34175633	0.221261828274763	4.79694393677042e-48	Hypomethylation	CSMD2	2.89	5.95329972645693e-12	Overexpression
1	35220613	35221040	0.233436531115922	7.82545323582124e-83	Hypomethylation	GJB5	53.84	8.66166663308222e-109	Overexpression
1	38412318	38412912	-0.229532286267828	2.06079659289102e-74	Hypermethylation	INPP5B	0.61	6.88060468315669e-09	lowexpression
1	44726627	44727600	0.290559927427003	1.90945158713382e-49	Hypomethylation	ERI3	1.6	5.99540232361136e-39	Overexpression
1	45273956	45275244	-0.220932086725374	1.43438254696885e-58	Hypermethylation	TCTEX1D4	0.2	2.29980515582643e-08	lowexpression
1	47695294	47695522	-0.213121565995362	4.99952755459996e-38	Hypermethylation	TAL1	0.12	4.17556896610238e-22	lowexpression
