CHR	Dmr.Start	Dmr.End	Delta.beta	meth.Pvalue	Meth.Status	Gene.Symbol	Expression.FC	Expression.Pvalue	Expression.Status
19	57018978	57019032	-0.233494410615497	2.40033642716626e-25	Hypermethylation	ZNF471	0.51	2.30423291587351e-17	lowexpression
5	115152344	115152503	-0.305603017716956	2.4818821390855e-115	Hypermethylation	CDO1	0.13	1.37429629408646e-17	lowexpression
16	3493381	3493482	-0.218304652254593	1.24639116382193e-32	Hypermethylation	ZNF597	0.4	4.12162189783653e-24	lowexpression
3	44626444	44626540	-0.128882881313189	3.64626108249472e-12	Hypermethylation	ZNF660	0.49	2.98498285940686e-18	lowexpression
19	56826670	56826982	-0.00550470246592086	1.20196032494111e-15	Hypermethylation	ZNF542	0.68	1.56208553811652e-12	lowexpression
19	57050317	57050412	-0.131159423602279	4.81786793712578e-12	Hypermethylation	ZFP28	0.65	3.22822692320055e-20	lowexpression
12	81471825	81471926	-0.153594514542007	7.22970992874799e-15	Hypermethylation	ACSS3	0.21	1.1680336985447e-24	lowexpression
19	58454374	58455662	0.0637276572920593	8.27812401247988e-07	Hypomethylation	ZNF256	1.62	1.70254562799037e-25	Overexpression
19	58609666	58610014	-0.118513449807982	1.18639428546808e-32	Hypermethylation	ZSCAN18	0.58	4.12538616999027e-13	lowexpression
4	683146	683266	-0.246753491784005	2.05934012943035e-63	Hypermethylation	MFSD7	0.33	4.07125812522646e-22	lowexpression
11	7041463	7042054	-0.0546957034238817	9.38878649291644e-22	Hypermethylation	ZNF214	0.5	1.22742449162644e-09	lowexpression
7	2952663	2953335	0.0516875198706959	0.000122368669548646	Hypomethylation	CARD11	2.52	2.35282938748173e-13	Overexpression
19	52074233	52074353	-0.0398102888046244	7.3377995227796e-06	Hypermethylation	ZNF175	0.7	2.41567442151727e-10	lowexpression
17	73083872	73084357	-0.0756239312401205	1.0269817298679e-10	Hypermethylation	SLC16A5	0.33	3.41529340135452e-25	lowexpression
19	52452286	52452450	-0.351914167307326	7.15702583254066e-65	Hypermethylation	ZNF350	0.77	3.52492746365523e-08	lowexpression
10	133782797	133783618	0.116171687781802	8.08349697880486e-15	Hypomethylation	BNIP3	2.62	2.23834422480587e-53	Overexpression
3	139259726	139263034	0.129516871287029	1.45761947182817e-17	Hypomethylation	RBP1	5.37	3.2329643467168e-25	Overexpression
3	49459539	49460373	-0.113295941567489	1.19186031352968e-55	Hypermethylation	AMT	0.64	1.38817275016526e-07	lowexpression
