	Estimate	Std. Error	t value	Pr(>|t|)	idx	beta	pval	cilb	ciub	i2	tau2	Symbol	coef	exp(coef)	se(coef)	z	Pr(>|z|)
ENSG00000127564.15	0.108244986028858	0.00679470301563722	15.9307898784898	8.66390855033299e-48	110	2.76921349380575	1.10269786567984e-29	2.28954649902054	3.24888048859096	96.1556344103586	1.1944206800276	PKMYT1	0.454862779923447	1.57595711524019	0.150884938464294	3.01463343228977	0.00257290009871192
ENSG00000109805.8	0.104878421927107	0.0065114756727732	16.106705637501	1.20654781632305e-48	156	2.64258373434563	3.89813555234857e-17	2.02715878437046	3.25800868432079	98.0045271955996	2.08144528507763	NCAPG	0.457080705439964	1.57945634982541	0.151002087026872	3.02698270228956	0.0024700809282643
ENSG00000030304.11	-0.0339702607165059	0.00419168872208339	-8.10419450698661	3.07062370457323e-15	207	-2.64598446914059	2.02235356870672e-12	-3.38337720195296	-1.90859173632822	96.1090202888191	2.87147481707105	MUSK	-0.481666167554438	0.617753253425377	0.150823138721214	-3.19358270646234	0.00140519079008565
ENSG00000048162.18	0.147320243574204	0.0158864560127132	9.27332335520965	3.36725652131522e-19	309	0.666840982783073	1.82115617079657e-15	0.502501509777863	0.831180455788284	92.7431329686339	0.133730150413414	NOP16	0.503487932483356	1.65448193974835	0.151448129695917	3.32449092302611	0.000885801169061144
ENSG00000160949.15	0.142183767398775	0.00961780307543313	14.783393492632	2.66972334135669e-42	805	1.35134739408073	2.20219343988682e-15	1.01732533548871	1.68536945267276	98.3583962176322	0.629863087509277	TONSL	0.40200841154832	1.49482390640668	0.150205956708306	2.67638128579017	0.00744219257153914
ENSG00000129596.4	-0.10105093664978	0.00606426604407611	-16.6633416006693	2.23558412302673e-51	921	-2.95227125150327	3.57105068484277e-11	-3.82622746063007	-2.07831504237647	98.8990002648078	4.27352049421057	CDO1	-0.40262219835479	0.668564636435663	0.150433812620162	-2.67640759309472	0.00744160835776426
ENSG00000138778.10	0.104756427690582	0.007736871200865	13.5398955173081	1.44704134390746e-36	997	1.93892461404678	2.54849821213949e-18	1.50361457317993	2.37423465491363	97.6550791387079	1.03801604141552	CENPE	0.488879921695235	1.6304889215206	0.151044672416275	3.23665783026027	0.00120938327875818
ENSG00000117650.11	0.106139318496126	0.005762012496415	18.4205290360205	3.3650735920766e-60	1087	2.84645485181449	4.63318582396444e-19	2.22106174672996	3.47184795689901	97.3825774353817	2.11795537155562	NEK2	0.527136248894269	1.69407394922753	0.150995786549778	3.49106594918454	0.000481097482865675
ENSG00000168078.8	0.0918892039940262	0.00603375152044316	15.2291992274944	2.0631159986656e-44	1160	2.74949285758073	1.97517466689234e-14	2.04526622092747	3.45371949423399	97.6342423251211	2.65680027954731	PBK	0.422049443047656	1.5250839276165	0.150720369852369	2.80021501712777	0.00510685777000781
ENSG00000169684.12	0.0734750967235908	0.00586815523915463	12.5209872147444	4.60159468466891e-32	1203	1.50012172405388	6.88046029260265e-12	1.07153064689385	1.9287128012139	96.4355136765716	0.933469442679362	CHRNA5	0.452112404713534	1.57162859711164	0.150906795735217	2.99597113907857	0.00273572324919835
