"id","species","taxonId","ensembl","entrez","name","fullname","synonym","signature","chromStart","chromEnd","chromStrand","chromName","band","goTerms","function","goFunctions","goLocalizations","cerebralLocalization","nrIntxsValidated","nrIntxsPredicted","transcripts","humanOrthologs","mouseOrthologs","bovineOrthologs","lastModified"
"285","Homo sapiens","9606","ENSG00000158270","81035","COLEC12","collectin sub-family member 12 ","","COLEC12|IDBG-285|ENSG00000158270|81035","319361","500722","-1","18","p11.32","GO:0002221|pattern recognition receptor signaling pathway|biological_process#GO:0005044|scavenger receptor activity|molecular_function#GO:0005534|galactose binding|molecular_function#GO:0005581|collagen trimer|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0006898|receptor-mediated endocytosis|biological_process#GO:0006910|phagocytosis, recognition|biological_process#GO:0006952|defense response|biological_process#GO:0006955|immune response|biological_process#GO:0008329|signaling pattern recognition receptor activity|molecular_function#GO:0009756|carbohydrate mediated signaling|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0030169|low-density lipoprotein particle binding|molecular_function#GO:0030666|endocytic vesicle membrane|cellular_component#GO:0045087|innate immune response|biological_process#GO:0046872|metal ion binding|molecular_function#GO:0051260|protein homooligomerization|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component"," metal ion binding","GO:0005044: scavenger receptor activity#GO:0005534: galactose binding#GO:0008329: signaling pattern recognition receptor activity#GO:0030169: low-density lipoprotein particle binding#GO:0046872: metal ion binding","GO:0005044: scavenger receptor activity,GO:0005534: galactose binding,GO:0008329: signaling pattern recognition receptor activity,GO:0030169: low-density lipoprotein particle binding,GO:0046872: metal ion binding","Plasma membrane","2","0","228706","","Colec12|IDBG-128247|ENSMUSG00000036103|140792","COLEC12|IDBG-644123|ENSBTAG00000007705|504741","2017-02-20"
"885","Homo sapiens","9606","ENSG00000177663","23765","IL17RA","interleukin 17 receptor A ","CANDF5|CD217|CDw217|hIL-17R|IL-17RA|IL17R","IL17RA|IDBG-885|ENSG00000177663|23765","17084954","17115694","1","22","q11.1","GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0007166|cell surface receptor signaling pathway|biological_process#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0030368|interleukin-17 receptor activity|molecular_function#GO:0032747|positive regulation of interleukin-23 production|biological_process#GO:0071345|cellular response to cytokine stimulus|biological_process#GO:0072537|fibroblast activation|biological_process#GO:1900017|positive regulation of cytokine production involved in inflammatory response|biological_process"," interleukin-17 receptor activity","GO:0005515: protein binding#GO:0030368: interleukin-17 receptor activity","GO:0005515: protein binding,GO:0030368: interleukin-17 receptor activity","Extracellular","21","14","887|810276","","Il17ra|IDBG-183749|ENSMUSG00000002897|16172","IL17RA|IDBG-641259|ENSBTAG00000011067|525040","2017-02-20"
"1609","Homo sapiens","9606","ENSG00000142168","6647","SOD1","superoxide dismutase 1, soluble ","ALS|ALS1|HEL-S-44|homodimer|hSod1|IPOA|SOD","SOD1|IDBG-1609|ENSG00000142168|6647","31659622","31668931","1","21","q22.11","GO:0000187|activation of MAPK activity|biological_process#GO:0000302|response to reactive oxygen species|biological_process#GO:0000303|response to superoxide|biological_process#GO:0001541|ovarian follicle development|biological_process#GO:0001819|positive regulation of cytokine production|biological_process#GO:0001890|placenta development|biological_process#GO:0001895|retina homeostasis|biological_process#GO:0001975|response to amphetamine|biological_process#GO:0002262|myeloid cell homeostasis|biological_process#GO:0002576|platelet degranulation|biological_process#GO:0004784|superoxide dismutase activity|molecular_function#GO:0005507|copper ion binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0005634|nucleus|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0005739|mitochondrion|cellular_component#GO:0005758|mitochondrial intermembrane space|cellular_component#GO:0005759|mitochondrial matrix|cellular_component#GO:0005777|peroxisome|cellular_component#GO:0005829|cytosol|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0006749|glutathione metabolic process|biological_process#GO:0006801|superoxide metabolic process|biological_process#GO:0006879|cellular iron ion homeostasis|biological_process#GO:0006979|response to oxidative stress|biological_process#GO:0007283|spermatogenesis|biological_process#GO:0007566|embryo implantation|biological_process#GO:0007568|aging|biological_process#GO:0007569|cell aging|biological_process#GO:0007596|blood coagulation|biological_process#GO:0007605|sensory perception of sound|biological_process#GO:0007626|locomotory behavior|biological_process#GO:0008089|anterograde axon cargo transport|biological_process#GO:0008090|retrograde axon cargo transport|biological_process#GO:0008217|regulation of blood pressure|biological_process#GO:0008219|cell death|biological_process#GO:0008270|zinc ion binding|molecular_function#GO:0009408|response to heat|biological_process#GO:0010033|response to organic substance|biological_process#GO:0019226|transmission of nerve impulse|biological_process#GO:0019430|removal of superoxide radicals|biological_process#GO:0019899|enzyme binding|molecular_function#GO:0030141|secretory granule|cellular_component#GO:0030168|platelet activation|biological_process#GO:0030346|protein phosphatase 2B binding|molecular_function#GO:0031012|extracellular matrix|cellular_component#GO:0031045|dense core granule|cellular_component#GO:0031410|cytoplasmic vesicle|cellular_component#GO:0031667|response to nutrient levels|biological_process#GO:0032287|peripheral nervous system myelin maintenance|biological_process#GO:0032314|regulation of Rac GTPase activity|biological_process#GO:0032839|dendrite cytoplasm|cellular_component#GO:0032930|positive regulation of superoxide anion generation|biological_process#GO:0033081|regulation of T cell differentiation in thymus|biological_process#GO:0034465|response to carbon monoxide|biological_process#GO:0034599|cellular response to oxidative stress|biological_process#GO:0035865|cellular response to potassium ion|biological_process#GO:0040014|regulation of multicellular organism growth|biological_process#GO:0042493|response to drug|biological_process#GO:0042542|response to hydrogen peroxide|biological_process#GO:0042554|superoxide anion generation|biological_process#GO:0042802|identical protein binding|molecular_function#GO:0042803|protein homodimerization activity|molecular_function#GO:0043005|neuron projection|cellular_component#GO:0043025|neuronal cell body|cellular_component#GO:0043065|positive regulation of apoptotic process|biological_process#GO:0043066|negative regulation of apoptotic process|biological_process#GO:0043085|positive regulation of catalytic activity|biological_process#GO:0043234|protein complex|cellular_component#GO:0043524|negative regulation of neuron apoptotic process|biological_process#GO:0045471|response to ethanol|biological_process#GO:0045541|negative regulation of cholesterol biosynthetic process|biological_process#GO:0045859|regulation of protein kinase activity|biological_process#GO:0046620|regulation of organ growth|biological_process#GO:0046677|response to antibiotic|biological_process#GO:0046688|response to copper ion|biological_process#GO:0046716|muscle cell cellular homeostasis|biological_process#GO:0046872|metal ion binding|molecular_function#GO:0048365|Rac GTPase binding|molecular_function#GO:0048538|thymus development|biological_process#GO:0048678|response to axon injury|biological_process#GO:0050665|hydrogen peroxide biosynthetic process|biological_process#GO:0051087|chaperone binding|molecular_function#GO:0051881|regulation of mitochondrial membrane potential|biological_process#GO:0055114|oxidation-reduction process|biological_process#GO:0060047|heart contraction|biological_process#GO:0060052|neurofilament cytoskeleton organization|biological_process#GO:0060087|relaxation of vascular smooth muscle|biological_process#GO:0060088|auditory receptor cell stereocilium organization|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component#GO:0071276|cellular response to cadmium ion|biological_process#GO:0071318|cellular response to ATP|biological_process#GO:0072593|reactive oxygen species metabolic process|biological_process#GO:0097332|response to antipsychotic drug|biological_process#GO:1902177|positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway|biological_process"," chaperone binding","GO:0004784: superoxide dismutase activity#GO:0005507: copper ion binding#GO:0005515: protein binding#GO:0008270: zinc ion binding#GO:0019899: enzyme binding#GO:0030346: protein phosphatase 2B binding#GO:0042802: identical protein binding#GO:0042803: protein homodimerization activity#GO:0046872: metal ion binding#GO:0048365: Rac GTPase binding#GO:0051087: chaperone binding","GO:0004784: superoxide dismutase activity,GO:0005507: copper ion binding,GO:0005515: protein binding,GO:0008270: zinc ion binding,GO:0019899: enzyme binding,GO:0030346: protein phosphatase 2B binding,GO:0042802: identical protein binding,GO:0042803: protein homodimerization activity,GO:0046872: metal ion binding,GO:0048365: Rac GTPase binding,GO:0051087: chaperone binding","Nucleus","84","8","1611|1615","","Sod1|IDBG-174662|ENSMUSG00000022982|20655","","2017-02-20"
"1754","Homo sapiens","9606","ENSG00000134489","59340","HRH4","histamine receptor H4 ","","HRH4|IDBG-1754|ENSG00000134489|59340","24460629","24479957","1","18","q11.2","GO:0004930|G-protein coupled receptor activity|molecular_function#GO:0004969|histamine receptor activity|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0006954|inflammatory response|biological_process#GO:0007186|G-protein coupled receptor signaling pathway|biological_process#GO:0007204|positive regulation of cytosolic calcium ion concentration|biological_process#GO:0008150|biological_process|biological_process#GO:0016020|membrane|cellular_component#GO:0016021|integral component of membrane|cellular_component#GO:0043408|regulation of MAPK cascade|biological_process#GO:0045087|innate immune response|biological_process"," histamine receptor activity","GO:0004930: G-protein coupled receptor activity#GO:0004969: histamine receptor activity","GO:0004930: G-protein coupled receptor activity,GO:0004969: histamine receptor activity","Plasma membrane","0","1","1756|365889","","Hrh4|IDBG-129289|ENSMUSG00000037346|225192","HRH4|IDBG-643833|ENSBTAG00000020467|783354","2017-02-20"
"1973","Homo sapiens","9606","ENSG00000159110","3455","IFNAR2","interferon (alpha, beta and omega) receptor 2 ","IFN-alpha-REC|IFN-R|IFNABR|IFNARB","IFNAR2|IDBG-1973|ENSG00000159110|3455","33229901","33265675","1","21","q22.11","GO:0004905|type I interferon receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006357|regulation of transcription from RNA polymerase II promoter|biological_process#GO:0007166|cell surface receptor signaling pathway|biological_process#GO:0007259|JAK-STAT cascade|biological_process#GO:0008283|cell proliferation|biological_process#GO:0009615|response to virus|biological_process#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0019901|protein kinase binding|molecular_function#GO:0019962|type I interferon binding|molecular_function#GO:0035455|response to interferon-alpha|biological_process#GO:0045087|innate immune response|biological_process#GO:0060337|type I interferon signaling pathway|biological_process#GO:0060338|regulation of type I interferon-mediated signaling pathway|biological_process"," type I interferon binding","GO:0004905: type I interferon receptor activity#GO:0005515: protein binding#GO:0019901: protein kinase binding#GO:0019962: type I interferon binding","GO:0004905: type I interferon receptor activity,GO:0005515: protein binding,GO:0019901: protein kinase binding,GO:0019962: type I interferon binding","Extracellular","33","5","1975|1983|1985|1987|292621|362701|362703|362705|362709","","Ifnar2|IDBG-175856|ENSMUSG00000022971|15976","IFNAR2|IDBG-629859|ENSBTAG00000015212|282258","2017-02-20"
"2089","Homo sapiens","9606","ENSG00000128228","23753","SDF2L1","stromal cell-derived factor 2-like 1 ","","SDF2L1|IDBG-2089|ENSG00000128228|23753","21642261","21644298","1","22","q11.21","GO:0005783|endoplasmic reticulum|cellular_component#GO:0005788|endoplasmic reticulum lumen|cellular_component#GO:0016020|membrane|cellular_component#GO:0034976|response to endoplasmic reticulum stress|biological_process#GO:0042981|regulation of apoptotic process|biological_process#GO:0051087|chaperone binding|molecular_function#GO:0051117|ATPase binding|molecular_function#GO:0051787|misfolded protein binding|molecular_function#GO:0071218|cellular response to misfolded protein|biological_process#GO:0071712|ER-associated misfolded protein catabolic process|biological_process"," misfolded protein binding","GO:0051087: chaperone binding#GO:0051117: ATPase binding#GO:0051787: misfolded protein binding","GO:0051087: chaperone binding,GO:0051117: ATPase binding,GO:0051787: misfolded protein binding","Plasma membrane","13","1","2091","","Sdf2l1|IDBG-138245|ENSMUSG00000022769|64136","SDF2L1|IDBG-637573|ENSBTAG00000000067|517962","2017-02-20"
"2196","Homo sapiens","9606","ENSG00000169575","7441","VPREB1","pre-B lymphocyte 1 ","IGI|IGVPB|VPREB","VPREB1|IDBG-2196|ENSG00000169575|7441","22244675","22245515","1","22","q11.22","GO:0005515|protein binding|molecular_function"," protein binding","GO:0005515: protein binding","GO:0005515: protein binding","Unknown","1","2","2198|292717","","","","2017-02-20"
"2272","Homo sapiens","9606","ENSG00000198805","4860","PNP","purine nucleoside phosphorylase ","NP|PRO1837|PUNP","PNP|IDBG-2272|ENSG00000198805|4860","20468954","20477094","1","14","q11.2","GO:0001882|nucleoside binding|molecular_function#GO:0002060|purine nucleobase binding|molecular_function#GO:0003824|catalytic activity|molecular_function#GO:0004731|purine-nucleoside phosphorylase activity|molecular_function#GO:0005622|intracellular|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0005829|cytosol|cellular_component#GO:0005856|cytoskeleton|cellular_component#GO:0006139|nucleobase-containing compound metabolic process|biological_process#GO:0006144|purine nucleobase metabolic process|biological_process#GO:0006148|inosine catabolic process|biological_process#GO:0006195|purine nucleotide catabolic process|biological_process#GO:0006738|nicotinamide riboside catabolic process|biological_process#GO:0006955|immune response|biological_process#GO:0008144|drug binding|molecular_function#GO:0009116|nucleoside metabolic process|biological_process#GO:0034356|NAD biosynthesis via nicotinamide riboside salvage pathway|biological_process#GO:0034418|urate biosynthetic process|biological_process#GO:0042102|positive regulation of T cell proliferation|biological_process#GO:0042301|phosphate ion binding|molecular_function#GO:0042493|response to drug|biological_process#GO:0043101|purine-containing compound salvage|biological_process#GO:0044281|small molecule metabolic process|biological_process#GO:0046638|positive regulation of alpha-beta T cell differentiation|biological_process#GO:0055086|nucleobase-containing small molecule metabolic process|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component#GO:0070970|interleukin-2 secretion|biological_process"," phosphate ion binding","GO:0001882: nucleoside binding#GO:0002060: purine nucleobase binding#GO:0003824: catalytic activity#GO:0004731: purine-nucleoside phosphorylase activity#GO:0008144: drug binding#GO:0042301: phosphate ion binding","GO:0001882: nucleoside binding,GO:0002060: purine nucleobase binding,GO:0003824: catalytic activity,GO:0004731: purine-nucleoside phosphorylase activity,GO:0008144: drug binding,GO:0042301: phosphate ion binding","Cytoplasm","28","0","2274|601402|598839|592354","","","","2017-02-20"
"2433","Homo sapiens","9606","ENSG00000128322","3543","IGLL1","immunoglobulin lambda-like polypeptide 1 ","14.1|AGM2|CD179b|IGL1|IGL5|IGLJ14.1|IGLL|IGO|IGVPB|VPREB2","IGLL1|IDBG-2433|ENSG00000128322|3543","23573125","23580308","-1","22","q11.23","GO:0005515|protein binding|molecular_function#GO:0006955|immune response|biological_process#GO:0016020|membrane|cellular_component#GO:0070062|extracellular vesicular exosome|cellular_component"," protein binding","GO:0005515: protein binding","GO:0005515: protein binding","Plasma membrane","5","0","2435|2437|366116","","","","2017-02-20"
"2528","Homo sapiens","9606","ENSG00000165799","84659","RNASE7","ribonuclease, RNase A family, 7 ","","RNASE7|IDBG-2528|ENSG00000165799|84659","21042226","21044234","1","14","q11.2","GO:0001530|lipopolysaccharide binding|molecular_function#GO:0003676|nucleic acid binding|molecular_function#GO:0004540|ribonuclease activity|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0009617|response to bacterium|biological_process#GO:0016892|endoribonuclease activity, producing 3'-phosphomonoesters|molecular_function#GO:0019731|antibacterial humoral response|biological_process#GO:0042834|peptidoglycan binding|molecular_function#GO:0045087|innate immune response|biological_process#GO:0050829|defense response to Gram-negative bacterium|biological_process#GO:0050830|defense response to Gram-positive bacterium|biological_process#GO:0051673|membrane disruption in other organism|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component#GO:0090501|RNA phosphodiester bond hydrolysis|biological_process#GO:0090502|RNA phosphodiester bond hydrolysis, endonucleolytic|biological_process"," endoribonuclease activity","GO:0001530: lipopolysaccharide binding#GO:0003676: nucleic acid binding#GO:0004540: ribonuclease activity#GO:0016892: endoribonuclease activity, producing 3'-phosphomonoesters#GO:0042834: peptidoglycan binding","GO:0001530: lipopolysaccharide binding,GO:0003676: nucleic acid binding,GO:0004540: ribonuclease activity,GO:0016892: endoribonuclease activity, producing 3'-phosphomonoesters,GO:0042834: peptidoglycan binding","Extracellular","1","0","2530|590424","","","","2017-02-20"
