Gene	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence
ZNF385B	ENSG00000144331	Zinc finger protein 385B	2	179441982-179861505	Predicted intracellular proteins	Evidence at protein level
TFPI2	ENSG00000105825	Tissue factor pathway inhibitor 2	7	93885397-93890991	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
IL27RA	ENSG00000104998	Interleukin 27 receptor subunit alpha	19	14031748-14053216	Predicted membrane proteins	Evidence at protein level
JCHAIN	ENSG00000132465	Joining chain of multimeric IgA and IgM	4	70655541-70681817	Plasma proteins, Predicted secreted proteins	Evidence at protein level
ARID5A	ENSG00000196843	AT-rich interaction domain 5A	2	96536743-96552638	Predicted intracellular proteins, Transcription factors	Evidence at protein level
MAP2K6	ENSG00000108984	Mitogen-activated protein kinase kinase 6	17	69414698-69543331	Enzymes, Predicted intracellular proteins	Evidence at protein level
NEFH	ENSG00000100285	Neurofilament heavy	22	29480230-29491390	Disease related genes, Predicted intracellular proteins	Evidence at protein level
DEF6	ENSG00000023892	DEF6, guanine nucleotide exchange factor	6	35297852-35321771	Predicted intracellular proteins	Evidence at protein level
C6orf141	ENSG00000197261	Chromosome 6 open reading frame 141	6	49550646-49561907	Predicted intracellular proteins	Evidence at protein level
CA3	ENSG00000164879	Carbonic anhydrase 3	8	85373436-85449040	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
GSTK1	ENSG00000197448	Glutathione S-transferase kappa 1	7	143244093-143270854	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
PEX10	ENSG00000157911	Peroxisomal biogenesis factor 10	1	2403964-2413797	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level
SGK3	ENSG00000104205	Serum/glucocorticoid regulated kinase family member 3	8	66712418-66862022	Enzymes, Predicted intracellular proteins	Evidence at protein level
SLC5A8	ENSG00000256870	Solute carrier family 5 member 8	12	101155493-101210407	Predicted membrane proteins	Evidence at protein level
RAC2	ENSG00000128340	Ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	22	37225261-37244448	Disease related genes, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level
PIGR	ENSG00000162896	Polymeric immunoglobulin receptor	1	206928518-206946466	Cancer-related genes, Plasma proteins, Predicted membrane proteins	Evidence at protein level
ZMYM6	ENSG00000163867	Zinc finger MYM-type containing 6	1	34986165-35031968	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
NFKBIA	ENSG00000100906	NFKB inhibitor alpha	14	35401511-35404749	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level
TNFRSF17	ENSG00000048462	TNF receptor superfamily member 17	16	11965107-11968068	Cancer-related genes, CD markers, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
RARRES3	ENSG00000133321	Retinoic acid receptor responder 3	11	63536809-63546462	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
SERPINA1	ENSG00000197249	Serpin family A member 1	14	94376747-94390693	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
NFKBIE	ENSG00000146232	NFKB inhibitor epsilon	6	44258166-44265788	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level
TRAPPC12	ENSG00000171853	Trafficking protein particle complex 12	2	3379675-3485094	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
CD52	ENSG00000169442	CD52 molecule	1	26317957-26320523	Cancer-related genes, CD markers, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level
RASGEF1A	ENSG00000198915	RasGEF domain family member 1A	10	43194535-43266919	Predicted intracellular proteins	Evidence at protein level
C6orf226	ENSG00000221821	Chromosome 6 open reading frame 226	6	42890265-42890816	Predicted intracellular proteins	Evidence at protein level
