rsID	Allele Count	Allele Number	Allele Frequency
rs3744108	115765	282760	0.409410808
rs2302189	114874	279344	0.411227734
rs2302190	68911	282524	0.243912022
rs188227519	704	282766	0.002489691
rs149302082	289	282100	0.001024459
rs148437803	262	282880	0.000926188
rs183891875	231	280814	0.000822609
rs141377491	128	254120	0.000503699
rs61740436	89	281186	0.000316516
rs138396973	83	282828	0.000293465
rs140261071	48	251416	0.000190919
rs775203610	46	282576	0.000162788
rs61742345	41	282896	0.00014493
rs142369640	40	282712	0.000141487
rs368681185	40	282702	0.000141492
rs139338138	38	282384	0.000134569
rs147735370	34	282842	0.000120208
rs199786193	31	282858	0.000109596
rs572156303	30	282742	0.000106104
rs200093046	29	280990	0.000103207
rs149266537	28	282812	9.90057E-05
rs201484679	26	282820	9.19313E-05
rs201831871	25	282884	8.83754E-05
rs202018897	23	282668	8.13675E-05
rs202152950	21	282784	7.42616E-05
rs780267599	20	251404	7.95532E-05
rs747285588	19	282724	6.72034E-05
rs745534891	18	251214	7.16521E-05
rs774894520	17	282868	6.00987E-05
rs535800437	17	251426	6.76143E-05
rs759408312	17	251120	6.76967E-05
rs147907628	16	251286	6.36725E-05
rs145309683	16	282756	5.65859E-05
rs201618118	15	281996	5.31922E-05
rs778039290	15	251492	5.9644E-05
rs369444194	15	282092	5.31741E-05
rs201315273	14	282876	4.94917E-05
rs760571933	14	251380	5.56926E-05
rs141724556	14	282752	4.95134E-05
rs758600036	14	249176	5.61852E-05
rs776844253	13	282802	4.59686E-05
rs199949441	13	251364	5.17178E-05
rs149445881	12	282772	4.2437E-05
rs146002451	12	282798	4.24331E-05
rs781011860	12	251450	4.77232E-05
rs375243165	12	282876	4.24214E-05
rs201265445	12	280842	4.27287E-05
rs749550503	11	251454	4.37456E-05
rs376695241	11	282778	3.88998E-05
rs368745705	11	251492	4.3739E-05
rs763099835	10	282400	3.54108E-05
rs372030322	10	280624	3.56349E-05
rs750889794	10	282764	3.53652E-05
rs749955904	9	282886	3.18149E-05
rs374470605	9	282728	3.18327E-05
rs200525321	9	249306	3.61002E-05
rs764468324	9	251456	3.57916E-05
rs752184402	9	281944	3.19212E-05
rs751421332	9	250680	3.59023E-05
rs752406126	9	249352	3.60936E-05
rs973549792	9	31292	0.000287613
rs759207591	8	251322	3.18317E-05
rs752772810	8	251422	3.1819E-05
rs754415544	8	282736	2.82949E-05
rs150611243	8	280752	2.84949E-05
rs780199990	8	282716	2.82969E-05
rs765378324	8	251216	3.18451E-05
rs186426028	7	281042	2.49073E-05
rs750891617	7	282732	2.47584E-05
rs201128367	7	251430	2.78408E-05
rs368765008	7	251362	2.78483E-05
rs756882249	7	251466	2.78368E-05
rs749303819	7	282558	2.47737E-05
rs539594201	7	251388	2.78454E-05
rs767379820	7	251122	2.78749E-05
rs543337583	7	230828	3.03256E-05
