	idx	beta	pval	cilb	ciub	i2	tau2	V1	V2
ENSG00000104219	27996	-0.802258558	7.86E-12	-1.032105737	-0.572411379	96.45977758	0.277513497	ZDHHC2	8
ENSG00000128918	21643	-2.278058918	4.11E-17	-2.808982502	-1.747135333	97.63304896	1.544318539	ALDH1A2	10
ENSG00000274736	15198	-3.07248236	7.95E-13	-3.913303911	-2.23166081	98.03250965	3.85651834	CCL23	14
ENSG00000163644	12277	-1.112695055	4.11E-13	-1.41342746	-0.81196265	97.61290565	0.496124932	PPM1K	22
ENSG00000039537	21319	-3.476826303	3.33E-11	-4.504489512	-2.449163093	98.3088134	5.761982983	C6	32
ENSG00000069702	25103	-2.04016453	4.19E-20	-2.47559776	-1.604731301	98.08963079	1.046751036	TGFBR3	36
ENSG00000165495	13963	-2.30315278	5.87E-15	-2.881393463	-1.724912098	98.35042591	1.899387467	PKNOX2	41
ENSG00000215301	15452	-0.32789187	1.58E-12	-0.418823213	-0.236960528	86.88604342	0.036608441	DDX3X	41
ENSG00000153823	27049	-1.9628047	3.08E-15	-2.45054277	-1.47506663	98.30351869	1.305368071	PID1	42
ENSG00000184226	12966	-2.581919383	1.29E-12	-3.295084127	-1.868754638	98.48063243	2.895973814	PCDH9	45
ENSG00000160808	25061	-2.668998389	1.84E-16	-3.304442807	-2.03355397	96.80082047	2.117550122	MYL3	47
ENSG00000104695	29803	-0.526758268	1.70E-11	-0.680174192	-0.373342345	97.73757284	0.130284187	PPP2CB	48
ENSG00000180287	16680	-3.145646981	4.34E-11	-4.080937565	-2.210356397	98.48616676	5.010379737	PLD5	48
ENSG00000166912	22123	-0.765177239	2.79E-22	-0.919663584	-0.610690895	97.34514247	0.127549309	MTMR10	51
ENSG00000169762	20549	-0.67122141	3.06E-13	-0.851639936	-0.490802884	98.04539019	0.182384353	TAPT1	52
ENSG00000172493	27187	-0.527549585	3.77E-12	-0.676422307	-0.378676862	93.85227257	0.114318567	AFF1	53
ENSG00000167220	24074	-0.466663577	1.07E-14	-0.584986044	-0.34834111	95.80537541	0.071608115	HDHD2	55
ENSG00000131381	2344	-0.40755833	5.87E-11	-0.529569463	-0.285547196	95.59376321	0.075567676	RBSN	56
ENSG00000159761	11359	-0.857490032	3.55E-11	-1.111302691	-0.603677373	96.2693717	0.343158419	C16orf86	57
ENSG00000186594	9549	-1.200826184	2.37E-24	-1.431965794	-0.969686574	93.25399658	0.257949373	MIR22HG	58
ENSG00000131370	5854	-1.442188863	2.07E-13	-1.827074093	-1.057303634	97.43205646	0.792014311	SH3BP5	58
ENSG00000148218	6952	-0.884378964	3.28E-12	-1.133234303	-0.635523625	98.27883501	0.330685072	ALAD	60
ENSG00000069020	16862	-0.641042681	3.30E-11	-0.830478468	-0.451606894	94.29488643	0.178388289	MAST4	60
ENSG00000147588	10973	-5.082896584	6.51E-14	-6.41165201	-3.754141158	98.28866737	9.985036628	PMP2	61
ENSG00000106034	30582	-2.227404385	1.53E-13	-2.818591558	-1.636217212	98.5488574	1.940187955	CPED1	61
ENSG00000205362	147	-2.548745468	3.32E-12	-3.266105948	-1.831384989	96.23628445	2.689549738	MT1A	63
ENSG00000034971	1743	-5.839642749	1.27E-12	-7.452179362	-4.227106137	98.9073513	15.01573564	MYOC	65
ENSG00000135447	13945	-3.621543663	3.02E-16	-4.490094342	-2.752992985	98.00053215	4.049830646	PPP1R1A	66
ENSG00000145390	27880	-0.776142856	2.34E-14	-0.975498191	-0.576787521	95.27841622	0.205253934	USP53	66
ENSG00000111339	28264	-2.513060167	4.95E-15	-3.142255248	-1.883865086	97.12147904	2.056010063	ART4	67
ENSG00000070193	793	-4.446420473	9.99E-18	-5.462831299	-3.430009647	97.95485944	5.536127395	FGF10	68
ENSG00000159658	29095	-0.425693717	1.37E-12	-0.543414361	-0.307973074	95.61471453	0.072789835	EFCAB14	68
ENSG00000164169	17820	-0.407982355	1.08E-11	-0.525653013	-0.290311697	94.23543514	0.070423756	PRMT9	68
ENSG00000189056	7167	-2.702117119	1.77E-11	-3.489761426	-1.914472813	98.3422601	3.507272217	RELN	70
ENSG00000205364	20945	-2.862995582	6.22E-13	-3.642843489	-2.083147675	97.94471688	3.313529716	MT1M	71
ENSG00000133800	20512	-3.061050446	1.76E-21	-3.691380724	-2.430720169	97.4800378	2.11104692	LYVE1	73
ENSG00000179388	6483	-1.626900576	5.83E-12	-2.090125357	-1.163675795	93.18932468	1.109832637	EGR3	73
ENSG00000161896	139	-2.048005156	2.96E-14	-2.57616589	-1.519844422	94.70200419	1.445193237	IP6K3	78
ENSG00000110422	30304	-0.610876788	1.06E-13	-0.771954008	-0.449799568	95.91526824	0.140255194	HIPK3	78
ENSG00000269067	21052	-3.824285416	2.40E-11	-4.946485021	-2.702085811	97.16494581	6.449830852	ZNF728	78
ENSG00000108924	23934	-2.425119296	4.94E-14	-3.056047703	-1.794190889	98.99798295	2.263038863	HLF	79
ENSG00000139946	16682	-1.057260265	9.64E-12	-1.361469856	-0.753050673	97.77928482	0.509164788	PELI2	79
ENSG00000108381	6098	-3.347050083	2.84E-18	-4.099542641	-2.594557524	98.89136051	3.121545576	ASPA	80
ENSG00000175806	10364	-0.913527303	1.98E-11	-1.1804775	-0.646577106	98.25571471	0.389088044	MSRA	84
ENSG00000170624	18986	-1.484770631	8.79E-11	-1.933415984	-1.036125278	96.13847779	1.012530057	SGCD	84
ENSG00000198848	13672	-2.743142664	1.61E-13	-3.471915175	-2.014370154	97.7326298	2.810547824	CES1	86
ENSG00000152580	2484	-2.96211719	2.29E-34	-3.437023171	-2.487211208	94.66397492	1.106572432	IGSF10	88
ENSG00000187824	18384	-1.636912958	1.09E-12	-2.087563624	-1.186262292	99.29579933	1.193261101	TMEM220	88
ENSG00000031003	23683	-0.616607765	6.14E-11	-0.80138991	-0.43182562	96.77918213	0.176544902	FAM13B	89
ENSG00000272573	28462	-2.330049355	6.55E-11	-3.029330591	-1.630768119	88.29917291	2.319069585	MUSTN1	89
ENSG00000113389	1577	-1.396201023	8.50E-19	-1.70529699	-1.087105057	87.27854879	0.410242631	NPR3	90
ENSG00000198624	19341	-1.82363313	4.26E-14	-2.29686001	-1.350406249	98.6232918	1.231622733	CCDC69	90
ENSG00000154258	15432	-2.408635561	6.44E-15	-3.014252829	-1.803018294	98.01789758	2.026540491	ABCA9	91
ENSG00000174306	5623	-0.686709021	1.04E-11	-0.884632284	-0.488785758	95.89094979	0.204142693	ZHX3	91
ENSG00000165406	3050	-0.545771192	6.93E-11	-0.709781563	-0.38176082	97.31274358	0.144314567	8-Mar	91
ENSG00000244734	26298	-2.259066261	1.94E-11	-2.918906951	-1.599225571	96.69610027	2.365838758	HBB	92
ENSG00000109458	20701	-0.748830581	1.42E-12	-0.956061374	-0.541599787	96.4006064	0.220849239	GAB1	93
ENSG00000107562	27236	-2.229441606	8.77E-15	-2.792831607	-1.666051606	98.57780351	1.809713979	CXCL12	95
ENSG00000134020	23901	-2.819267962	9.48E-11	-3.672649986	-1.965885937	98.1789671	4.056601935	PEBP4	95
ENSG00000203907	25797	-2.462908536	1.12E-13	-3.11297002	-1.812847053	86.60697343	1.880699484	OOEP	96
ENSG00000117791	24840	-0.989519082	8.03E-12	-1.273139323	-0.705898841	97.5899872	0.420670926	2-Mar	96
ENSG00000115896	15762	-1.639816685	3.86E-11	-2.126093779	-1.15353959	98.26363387	1.266344599	PLCL1	96
ENSG00000146122	25302	-1.641116292	1.04E-14	-2.056978942	-1.225253642	97.69676888	0.924109474	DAAM2	99
ENSG00000011465	23099	-2.62599109	1.94E-11	-3.392936563	-1.859045616	98.82754242	3.288413609	DCN	100
ENSG00000109819	7874	-1.82667237	4.15E-12	-2.34316044	-1.310184301	97.96593425	1.421871111	PPARGC1A	101
ENSG00000123560	584	-4.024065313	6.39E-15	-5.035733251	-3.012397376	98.23686415	5.753790739	PLP1	102
ENSG00000166960	3203	-2.887074051	6.29E-27	-3.413719957	-2.360428146	96.13110528	1.394989641	CCDC178	105
ENSG00000165186	21228	-2.696939908	1.19E-12	-3.440763696	-1.95311612	96.73586428	2.904802939	PTCHD1	105
ENSG00000130844	22333	-0.884625521	5.93E-17	-1.091857337	-0.677393704	91.56787963	0.195572159	ZNF331	107
ENSG00000150625	3534	-3.899561212	8.76E-16	-4.849821384	-2.949301041	98.90126108	5.160576565	GPM6A	107
ENSG00000166275	28116	-0.72354749	3.31E-11	-0.937377015	-0.509717966	97.91971326	0.259353126	BORCS7	108
ENSG00000168216	25368	-0.637457401	4.60E-15	-0.796874243	-0.47804056	97.28136154	0.13642423	LMBRD1	109
ENSG00000254245	16561	-1.622995966	6.68E-13	-2.065668829	-1.180323103	95.95832907	1.020059299	PCDHGA3	109
ENSG00000156256	24008	-0.267307288	8.19E-11	-0.347944547	-0.186670029	91.49846827	0.030152365	USP16	109
ENSG00000164188	10182	-2.962815301	9.73E-16	-3.685964598	-2.239666005	97.92824915	2.863968516	RANBP3L	110
ENSG00000179636	28648	-3.708492921	8.24E-18	-4.554048123	-2.862937718	96.53022331	3.813427807	TPPP2	112
ENSG00000113638	2397	-0.421476593	4.94E-11	-0.547160384	-0.295792802	92.39441678	0.076597533	TTC33	113
ENSG00000163145	5793	-2.921520067	1.70E-17	-3.594174006	-2.248866129	98.47805914	2.54237832	C1QTNF7	114
ENSG00000119147	27397	-3.750265621	6.81E-13	-4.773540305	-2.726990936	98.94028445	5.954124139	C2orf40	114
ENSG00000077009	17203	-4.0165265	1.68E-12	-5.131744709	-2.901308292	94.80467865	6.642695651	NMRK2	114
ENSG00000114784	8024	-0.459011056	4.28E-15	-0.573666066	-0.344356045	94.48069545	0.066030017	EIF1B	115
ENSG00000116194	22739	-3.475315049	3.46E-16	-4.310463782	-2.640166316	98.96789666	3.940198418	ANGPTL1	116
ENSG00000266964	12056	-3.10796522	1.32E-14	-3.898660034	-2.317270406	98.95814172	3.564619188	FXYD1	117
ENSG00000261701	17762	-3.792297687	7.11E-15	-4.74736516	-2.837230214	96.43984411	4.980991184	HPR	119
ENSG00000166091	17665	-4.166785531	3.11E-16	-5.166514159	-3.167056904	98.22775869	5.538962323	CMTM5	120
ENSG00000123358	24449	-1.757686258	5.39E-11	-2.282852868	-1.232519648	95.05226467	1.463020775	NR4A1	121
ENSG00000175764	26090	-0.525407145	8.92E-16	-0.65347625	-0.39733804	93.03175381	0.073456518	TTLL11	125
ENSG00000161594	716	-1.71926915	3.63E-12	-2.204067431	-1.234470868	93.85919917	1.072099925	KLHL10	125
ENSG00000137077	7752	-3.035613438	6.86E-16	-3.772597587	-2.298629288	97.06894883	2.897337027	CCL21	127
ENSG00000171772	16637	-2.437729012	4.36E-11	-3.162589163	-1.712868861	91.52838328	2.678078227	SYCE1	127
ENSG00000142784	28281	-0.402535325	3.63E-13	-0.511079673	-0.293990978	94.71903121	0.061705844	WDTC1	128
ENSG00000113594	23238	-2.066658593	6.98E-13	-2.630812127	-1.502505059	98.89975318	1.780782282	LIFR	128
ENSG00000119414	6512	-0.232639384	1.56E-11	-0.300269673	-0.165009095	93.49308289	0.023162421	PPP6C	128
ENSG00000147576	24725	-1.666274027	9.91E-15	-2.088191214	-1.24435684	98.19334618	0.984813419	ADHFE1	129
ENSG00000165795	5497	-1.511818651	1.47E-17	-1.859201682	-1.164435621	98.45857772	0.680418394	NDRG2	130
ENSG00000172059	24597	-0.687056807	1.46E-12	-0.877299351	-0.496814262	95.57378002	0.18553039	KLF11	130
ENSG00000148488	30676	-2.294411267	1.37E-11	-2.959521289	-1.629301244	96.54140733	2.269841306	ST8SIA6	131
ENSG00000065809	11407	-0.822801141	1.65E-11	-1.062265648	-0.583336634	96.29696827	0.28490865	FAM107B	131
ENSG00000006128	30201	-3.93976054	1.40E-17	-4.844493973	-3.035027107	94.12272336	4.241887128	TAC1	132
ENSG00000005882	8293	-0.76611432	6.75E-17	-0.945911637	-0.586317002	95.23153803	0.167288487	PDK2	132
ENSG00000168300	182	-0.437811292	2.83E-17	-0.539320018	-0.336302565	92.47851112	0.051655624	PCMTD1	133
ENSG00000036473	29030	-4.67893354	4.29E-12	-6.002732743	-3.355134336	98.25903464	10.04909467	OTC	133
ENSG00000094963	5152	-2.806039684	1.66E-13	-3.551888597	-2.060190771	98.28886486	2.977175718	FMO2	134
ENSG00000205269	3764	-0.923683026	4.74E-11	-1.198859524	-0.648506529	97.22770772	0.422520891	TMEM170B	135
ENSG00000175611	27729	-0.515757064	2.55E-16	-0.639142178	-0.39237195	88.87028103	0.065538305	LINC00476	139
ENSG00000009307	16566	-0.399646776	7.91E-16	-0.496883339	-0.302410212	94.65812913	0.046460513	CSDE1	139
ENSG00000063127	21310	-1.108564566	9.69E-12	-1.427569934	-0.789559198	96.46320452	0.542361425	SLC6A16	139
ENSG00000144230	4597	-1.999809008	3.19E-11	-2.590336435	-1.409281581	96.7828862	1.869183474	GPR17	139
ENSG00000036672	2274	-1.693189543	3.79E-14	-2.131684269	-1.254694817	96.71259329	1.021362988	USP2	140
ENSG00000004776	11380	-3.009631823	4.02E-13	-3.822701606	-2.196562041	98.62773117	3.595590627	HSPB6	140
ENSG00000101204	17592	-3.794152056	3.57E-11	-4.917309452	-2.670994661	96.56352464	6.521784638	CHRNA4	140
ENSG00000198597	27571	-2.711329424	1.56E-11	-3.499526112	-1.923132736	97.47281453	3.452010017	ZNF536	141
ENSG00000164128	26514	-2.73029416	3.50E-24	-3.257784231	-2.202804089	96.88391031	1.429920619	NPY1R	144
ENSG00000223609	29037	-2.926820189	5.15E-12	-3.758023027	-2.095617351	88.55982975	2.805659886	HBD	144
ENSG00000186642	25867	-2.331867886	5.65E-17	-2.877764447	-1.785971325	98.52502241	1.619988111	PDE2A	147
ENSG00000131471	30349	-2.173755777	5.39E-12	-2.79168379	-1.555827765	98.62501414	2.048246073	AOC3	147
ENSG00000170271	22782	-1.700843725	1.14E-13	-2.149898223	-1.251789228	98.34865682	1.093220856	FAXDC2	149
ENSG00000128016	24826	-1.334367711	5.19E-11	-1.732710135	-0.936025287	94.47917407	0.806797689	ZFP36	151
ENSG00000112320	11229	-1.348943804	2.98E-11	-1.746651568	-0.951236039	97.85997938	0.857557378	SOBP	152
ENSG00000161649	22055	-4.522497727	6.48E-21	-5.467283649	-3.577711805	98.30211093	5.024765776	CD300LG	153
ENSG00000138356	16756	-3.107775322	2.29E-13	-3.938714555	-2.276836088	98.65167664	3.821907977	AOX1	154
ENSG00000146151	23705	-3.449852934	9.14E-13	-4.396476318	-2.50322955	98.67983942	5.063973204	HMGCLL1	154
ENSG00000171862	20786	-0.466678317	3.65E-11	-0.604895512	-0.328461123	96.5062451	0.10587725	PTEN	156
ENSG00000123091	20185	-0.570360022	2.76E-16	-0.706965432	-0.433754612	96.30466603	0.099625787	RNF11	157
ENSG00000141338	15962	-3.508465396	6.42E-18	-4.305761593	-2.711169198	98.95561091	3.613063931	ABCA8	159
ENSG00000163687	5546	-2.802927077	2.05E-20	-3.396196923	-2.209657231	97.50738149	1.842981575	DNASE1L3	160
ENSG00000110429	21849	-0.366884986	4.40E-15	-0.458569061	-0.275200911	93.52746045	0.041919352	FBXO3	161
ENSG00000138767	21316	-0.297193681	8.60E-11	-0.386948951	-0.207438411	90.44255179	0.036810339	CNOT6L	161
ENSG00000163815	20222	-2.8809359	8.20E-15	-3.608169108	-2.153702692	98.92763949	3.006732394	CLEC3B	163
ENSG00000248874	25246	-3.437900512	6.71E-22	-4.138472761	-2.737328263	85.55438914	2.164357957	C5orf17	164
ENSG00000121871	12351	-4.844867331	1.84E-11	-6.258375381	-3.431359282	98.00167242	11.1271986	SLITRK3	165
ENSG00000144712	24019	-1.25224284	2.93E-11	-1.621317688	-0.883167993	97.9181575	0.746238572	CAND2	166
ENSG00000179564	9095	-2.508870385	2.12E-22	-3.013946207	-2.003794563	91.02695193	1.248956942	LSMEM2	167
ENSG00000175287	17837	-1.792983505	2.36E-13	-2.272642791	-1.313324218	98.28405573	1.297653836	PHYHD1	167
ENSG00000129244	8637	-1.876312958	1.19E-12	-2.393826227	-1.358799688	98.14269062	1.437419405	ATP1B2	169
ENSG00000180875	15265	-3.975517874	9.06E-18	-4.883099187	-3.067936561	98.54116636	4.5708069	GREM2	171
ENSG00000163632	6818	-1.071623896	4.28E-11	-1.390151111	-0.753096681	92.87298562	0.483035509	C3orf49	171
ENSG00000165269	20944	-2.343360338	4.37E-12	-3.006635757	-1.68008492	98.17502721	2.32904186	AQP7	172
ENSG00000248144	28644	-3.768398802	4.57E-15	-4.710686749	-2.826110854	98.36963352	4.789017109	ADH1C	173
ENSG00000181778	20879	-4.331661209	5.18E-15	-5.416971095	-3.246351323	97.92654689	6.472951349	TMEM252	173
ENSG00000162616	15826	-0.975993205	1.18E-15	-1.214923357	-0.737063053	96.39862146	0.298269628	DNAJB4	175
ENSG00000162772	27198	-1.341592642	5.95E-11	-1.743353577	-0.939831707	92.56604414	0.832562059	ATF3	178
ENSG00000074527	10493	-1.389852225	8.59E-20	-1.689019438	-1.090685012	96.45840863	0.453368448	NTN4	179
ENSG00000170345	19740	-1.834749341	8.71E-14	-2.316849435	-1.352649247	94.53623327	1.196165976	FOS	179
ENSG00000184601	28556	-5.975717002	2.80E-30	-6.999979234	-4.951454771	96.726855	5.774957432	C14orf180	180
ENSG00000117400	2576	-1.037327349	1.61E-17	-1.275995373	-0.798659325	89.70616635	0.241270532	MPL	180
ENSG00000104332	28895	-3.648829274	5.86E-13	-4.641608834	-2.656049715	98.99608937	5.605597128	SFRP1	181
ENSG00000118526	5908	-3.322930857	4.21E-12	-4.262761896	-2.383099819	99.23187018	5.092872563	TCF21	182
ENSG00000147027	16265	-1.421636597	5.45E-11	-1.846510616	-0.996762579	98.36648684	0.988407689	TMEM47	185
ENSG00000160801	12124	-2.546076019	3.05E-17	-3.137017427	-1.955134611	98.34483432	1.873095812	PTH1R	186
ENSG00000196569	17642	-1.52840375	7.25E-12	-1.965555591	-1.091251908	96.74907867	0.976515959	LAMA2	188
ENSG00000151090	22486	-1.637481643	4.45E-11	-2.12462121	-1.150342076	99.06320719	1.349230857	THRB	190
ENSG00000102547	7658	-1.174758333	4.89E-11	-1.524987296	-0.82452937	98.3939105	0.678592928	CAB39L	192
ENSG00000134201	16182	-2.950932304	5.57E-22	-3.551077986	-2.350786622	98.09050226	1.950180549	GSTM5	193
ENSG00000091704	13728	-3.190230408	7.42E-12	-4.103134187	-2.27732663	95.13226902	4.270582699	CPA1	195
ENSG00000164303	13401	-2.454637146	5.61E-13	-3.121945687	-1.787328604	97.26215955	2.386675045	ENPP6	198
ENSG00000107317	23154	-2.51190837	1.96E-23	-3.005458466	-2.018358274	96.31135536	1.303974662	PTGDS	199
ENSG00000166856	28698	-2.51695063	1.24E-14	-3.156658769	-1.877242491	97.03923363	2.118190585	GPR182	200
ENSG00000179915	23278	-3.711870139	6.43E-12	-4.770861936	-2.652878342	98.56148079	6.480568311	NRXN1	202
ENSG00000129596	921	-2.952271252	3.57E-11	-3.826227461	-2.078315042	98.89900026	4.273520494	CDO1	204
ENSG00000143196	20658	-3.938065734	6.39E-20	-4.782760492	-3.093370975	97.9785064	3.881558042	DPT	205
