CHR	Dmr.Start	Dmr.End	Delta.beta	meth.Pvalue	Meth.Status	Gene.Symbol	Expression.FC	Expression.Pvalue	Expression.Status
19	57018978	57019032	-0.193909963270018	9.02105801109855e-21	Hypermethylation	ZNF471	0.63	5.64847108362057e-09	lowexpression
5	115152344	115152503	-0.3015561431183	2.38840640158386e-143	Hypermethylation	CDO1	0.16	1.12533399522869e-19	lowexpression
16	28546872	28550874	-0.076199444462068	3.25222265180564e-09	Hypermethylation	NUPR1	0.67	1.18426739997373e-10	lowexpression
16	3480901	3482962	-0.0621410835221688	8.65893357214973e-09	Hypermethylation	ZNF597	0.62	2.71268311588537e-15	lowexpression
8	11059217	11059337	-0.0930189651627927	1.33153233184971e-08	Hypermethylation	XKR6	0.54	7.05135899273103e-17	lowexpression
3	44626444	44626540	-0.160004225474974	8.39835019470484e-16	Hypermethylation	ZNF660	0.55	3.03956704253858e-11	lowexpression
19	57050317	57050412	-0.0843538169810279	1.76324530910567e-07	Hypermethylation	ZFP28	0.7	1.56476717451784e-12	lowexpression
12	81471825	81471926	-0.0957204925439186	1.12223373452662e-08	Hypermethylation	ACSS3	0.34	7.68824207061777e-28	lowexpression
19	58609666	58610014	-0.0733091722513565	4.02234795038442e-16	Hypermethylation	ZSCAN18	0.71	8.93380851364366e-10	lowexpression
7	3033378	3033837	0.121171757080836	8.77770462101328e-09	Hypomethylation	CARD11	3.92	4.92402941007271e-46	Overexpression
10	133782797	133783618	0.0848211813023793	9.10416878009136e-07	Hypomethylation	BNIP3	2.4	1.30795131717932e-63	Overexpression
