CHR	Dmr.Start	Dmr.End	Delta.beta	meth.Pvalue	Meth.Status	Gene.Symbol	Expression.FC	Expression.Pvalue	Expression.Status
1	38412318	38412912	-0.237497025936093	2.45156584476246e-58	Hypermethylation	INPP5B	0.74	9.57297827926725e-08	lowexpression
1	47692499	47695522	-0.20761203594518	2.70965930190856e-81	Hypermethylation	TAL1	0.15	1.60825714019812e-19	lowexpression
1	79472313	79472456	-0.387443132665897	1.08700246815754e-181	Hypermethylation	ELTD1	0.42	7.47623510052371e-11	lowexpression
1	166037443	166041445	0.281119595775021	8.64720328158491e-127	Hypomethylation	FAM78B	1.56	2.83027198418243e-08	Overexpression
1	230249694	230250642	0.219518012293553	1.53421956945441e-33	Hypomethylation	GALNT2	1.79	1.29401761333804e-41	Overexpression
1	236849924	236850502	-0.221503812017259	7.92971281680015e-73	Hypermethylation	ACTN2	0.13	3.26838669086748e-17	lowexpression
2	46592907	46593587	-0.282682009307457	2.8383683031239e-60	Hypermethylation	EPAS1	0.16	1.10805971517739e-19	lowexpression
2	66663891	66668328	-0.290254240618567	0	Hypermethylation	MEIS1	0.46	2.9625746043823e-15	lowexpression
2	68545819	68546179	-0.275098907382445	2.49387648594746e-91	Hypermethylation	CNRIP1	0.37	9.60761987913381e-24	lowexpression
2	108994313	108994729	-0.237691951283466	1.1278716545352e-97	Hypermethylation	SULT1C4	0.21	7.37247587588281e-17	lowexpression
2	218770007	218770471	-0.224690202019047	1.61055705107477e-57	Hypermethylation	TNS1	0.23	1.41553027205327e-26	lowexpression
2	235936276	235936678	0.279123811048237	6.28006801968511e-47	Hypomethylation	SH3BP4	1.25	1.14802803968095e-06	Overexpression
3	12045389	12045521	-0.257333193757664	4.15723024198051e-33	Hypermethylation	SYN2	0.12	1.26695365498482e-12	lowexpression
3	66847724	66849649	-0.203425000243538	8.13658990973475e-47	Hypermethylation	KBTBD8	0.59	1.21366084214821e-07	lowexpression
3	128197780	128205415	-0.203750156181556	6.74245318384367e-186	Hypermethylation	GATA2	0.28	3.40055585372526e-13	lowexpression
4	4859933	4860528	-0.21571713243868	6.18477142914487e-253	Hypermethylation	MSX1	0.52	7.45744006906959e-07	lowexpression
4	6247489	6247722	-0.302779097641854	2.25750744751187e-110	Hypermethylation	WFS1	0.32	3.55875670056668e-23	lowexpression
5	115152344	115152503	-0.3015561431183	2.38840640158386e-143	Hypermethylation	CDO1	0.16	1.12533399522869e-19	lowexpression
5	124070673	124071423	-0.231469561917265	1.30838914962396e-46	Hypermethylation	ZNF608	0.66	1.8456977228804e-08	lowexpression
5	154229940	154230374	-0.242130546213642	3.77318506954225e-50	Hypermethylation	C5orf4	0.52	4.80305781203843e-13	lowexpression
6	6004684	6004840	-0.204200959603302	3.72157696330962e-46	Hypermethylation	NRN1	0.33	4.87744369409033e-14	lowexpression
6	28227076	28227175	-0.310546289520194	2.36745709858383e-175	Hypermethylation	NKAPL	0.32	8.27350292390691e-19	lowexpression
6	31166361	31166653	0.281737744291834	2.50390047368702e-82	Hypomethylation	HCG27	1.58	7.7054194038183e-09	Overexpression
6	34984520	34985269	-0.230029334593164	1.45687629377998e-56	Hypermethylation	ANKS1A	0.49	8.87653854790506e-21	lowexpression
6	111888130	111889156	-0.203755256406135	7.3327010152581e-68	Hypermethylation	TRAF3IP2	0.73	7.34675041756319e-11	lowexpression
6	138866549	138867441	-0.228193197309105	5.51115042672218e-142	Hypermethylation	NHSL1	0.31	2.67469379187829e-26	lowexpression
7	226303	226704	0.20394124874435	4.46042428027618e-36	Hypomethylation	FAM20C	1.42	5.15905989006224e-11	Overexpression
7	16505564	16505642	-0.212878127507742	8.918412288108e-42	Hypermethylation	SOSTDC1	0.08	5.39851241256683e-13	lowexpression
7	23387049	23387712	0.217017094021276	1.65870526817661e-52	Hypomethylation	IGF2BP3	13.61	1.7991146770111e-41	Overexpression
7	26192891	26193173	0.200802871210769	6.84304343996354e-32	Hypomethylation	NFE2L3	2.75	1.1942751287018e-45	Overexpression
7	27183659	27184488	-0.202300886280648	0	Hypermethylation	HOXA5	0.32	2.7067499265246e-13	lowexpression
7	79083937	79084226	-0.205389124165645	8.17454470707646e-108	Hypermethylation	MAGI2	0.51	1.98516681813889e-17	lowexpression
7	117119277	117119742	-0.231365958162842	2.37659786918028e-41	Hypermethylation	CFTR	0.41	2.50961773148296e-10	lowexpression
7	141175018	141177297	0.203758554579315	1.4424021743291e-37	Hypomethylation	AGK	1.51	7.83340279747357e-60	Overexpression
7	153584540	153584651	-0.405451016999204	3.19261728344546e-122	Hypermethylation	DPP6	0.09	5.42252512770458e-09	lowexpression
7	153749658	153749837	-0.260406353662571	1.2676370347952e-86	Hypermethylation	DPP6	0.09	5.42252512770458e-09	lowexpression
8	55370420	55370438	-0.278509419594927	6.13015868628178e-49	Hypermethylation	SOX17	0.16	8.19852825585525e-12	lowexpression
8	86350508	86350652	-0.270115845129106	9.37783973058951e-48	Hypermethylation	CA3	0.21	5.22861102116016e-09	lowexpression
8	109095972	109096010	-0.254311924679311	2.66405516380986e-60	Hypermethylation	RSPO2	0.16	6.19616258971193e-17	lowexpression
10	3160848	3161060	0.209524615558225	1.32042280698835e-14	Hypomethylation	PFKP	4.74	1.03646863582555e-66	Overexpression
10	15761867	15761885	-0.265605409210363	4.06333210877906e-42	Hypermethylation	ITGA8	0.22	1.1580016797272e-16	lowexpression
10	26856017	26856206	-0.204236457984334	3.76124293481064e-34	Hypermethylation	APBB1IP	0.64	3.95139268166785e-11	lowexpression
10	73976730	73976881	0.277277488383379	5.2277280306663e-67	Hypomethylation	ASCC1	1.26	3.28734864469629e-13	Overexpression
10	98129811	98130714	0.218124219105021	2.37015051890372e-47	Hypomethylation	TLL2	11.55	1.20300757369857e-12	Overexpression
10	100993412	100993803	-0.237501008254935	1.52450175109961e-110	Hypermethylation	HPSE2	0.18	3.39906469835342e-08	lowexpression
11	30038663	30038719	-0.220739106069886	1.14984969053931e-54	Hypermethylation	KCNA4	0.07	9.49702089529875e-15	lowexpression
11	31825025	31825911	-0.25141987988648	1.44789453029231e-72	Hypermethylation	PAX6	0.38	5.14000571898027e-30	lowexpression
11	59634171	59634381	0.258145476575092	8.68558724498403e-88	Hypomethylation	TCN1	112.77	7.80655242088919e-12	Overexpression
11	111783162	111783700	-0.242923940591244	1.15156818937401e-111	Hypermethylation	CRYAB	0.28	7.21235245173447e-18	lowexpression
12	54088778	54089128	-0.280758279816602	2.33028250968213e-73	Hypermethylation	CALCOCO1	0.44	1.24196279846899e-41	lowexpression
12	54131930	54132337	-0.25380764258524	1.34657258690706e-55	Hypermethylation	CALCOCO1	0.44	1.24196279846899e-41	lowexpression
14	70651336	70654084	-0.201743117256231	1.32940036234608e-38	Hypermethylation	SLC8A3	0.34	3.57684410460816e-10	lowexpression
15	83776372	83776488	-0.203740107420191	4.21019465382444e-16	Hypermethylation	TM6SF1	0.39	5.39989045460991e-26	lowexpression
15	86232898	86233552	-0.208944337463	1.65214035569238e-24	Hypermethylation	AKAP13	0.49	6.54756871922748e-15	lowexpression
16	66613264	66613282	-0.346329058609081	2.29733436229095e-85	Hypermethylation	CMTM2	0.18	5.93190863184453e-12	lowexpression
16	76342061	76342994	0.204757965021423	3.38538213941428e-33	Hypomethylation	CNTNAP4	26.78	4.52417124113877e-07	Overexpression
17	749925	750695	-0.279110049100826	3.43403478262776e-43	Hypermethylation	NXN	0.71	7.01132295796151e-11	lowexpression
17	1548898	1549126	-0.243663273058817	1.71304581480547e-81	Hypermethylation	SCARF1	0.47	2.44332127994212e-19	lowexpression
17	40715180	40715286	0.282546405068859	2.9583078509392e-106	Hypomethylation	COASY	1.87	4.54888385905974e-83	Overexpression
17	48796441	48796595	0.208051711811592	4.36673988422173e-75	Hypomethylation	LUC7L3	1.52	1.7235649167233e-14	Overexpression
17	57915349	57919590	0.200477831784945	0	Hypomethylation	TMEM49	2	1.85935783251409e-42	Overexpression
17	59554356	59555122	-0.202610812731609	2.0611363413089e-51	Hypermethylation	TBX4	0.23	3.44067959573111e-21	lowexpression
17	62051604	62051878	0.235257615245265	1.43105017653156e-79	Hypomethylation	SCN4A	10.37	9.89055753695617e-08	Overexpression
18	11148767	11148785	-0.228561225928969	1.4004731889917e-42	Hypermethylation	FAM38B	0.47	5.31928420622091e-11	lowexpression
18	19752214	19752555	-0.21652647210075	1.59364027202281e-61	Hypermethylation	GATA6	0.3	4.50870680803675e-33	lowexpression
18	61143821	61144540	0.251672986929002	6.42920600698105e-87	Hypomethylation	SERPINB5	23.58	9.5291263655091e-17	Overexpression
19	11785047	11785266	-0.239217341850899	1.67547220566213e-72	Hypermethylation	ZNF833	0.5	3.03045841847194e-10	lowexpression
19	30866144	30866250	-0.293194477099614	7.81908376308411e-57	Hypermethylation	ZNF536	0.25	5.43007464150633e-12	lowexpression
19	36246325	36246478	-0.213527069334796	4.94478252784696e-44	Hypermethylation	HSPB6	0.19	7.1434625500373e-20	lowexpression
19	38183244	38183271	-0.31675505564233	1.15410951691445e-43	Hypermethylation	ZNF781	0.45	3.49468290191358e-11	lowexpression
19	38747347	38747405	-0.207255926217817	3.1125773151606e-19	Hypermethylation	PPP1R14A	0.29	1.9071025307185e-13	lowexpression
20	11898277	11898758	-0.302754338483071	8.95155467494989e-61	Hypermethylation	BTBD3	0.76	9.39876950806571e-09	lowexpression
20	23015890	23015917	-0.243298365645502	1.20321093182268e-43	Hypermethylation	SSTR4	0.06	1.15139768167351e-11	lowexpression
21	36421266	36422060	0.220153836283012	1.12620927998595e-40	Hypomethylation	RUNX1	1.42	4.16218230333894e-11	Overexpression
