CHR	Dmr.Start	Dmr.End	Delta.beta	meth.Pvalue	Meth.Status	Gene.Symbol	Expression.FC	Expression.Pvalue	Expression.Status
19	16999554	16999674	-0.0877151948386241	3.324645026337e-12	Hypermethylation	F2RL3	0.29	1.71960210526151e-07	lowexpression
17	38465309	38465711	-0.0304088373051458	0.000955917894061586	Hypermethylation	RARA	0.68	1.02942863459371e-10	lowexpression
10	80853736	80854236	-0.079098577111382	2.08269006133109e-06	Hypermethylation	ZMIZ1	0.61	2.28571381558482e-16	lowexpression
14	93418893	93419525	-0.00459798450247828	1.62907145992602e-09	Hypermethylation	ITPK1	0.65	4.68118336839259e-15	lowexpression
11	68118027	68119801	0.0296112702442572	1.24687643430711e-10	Hypomethylation	LRP5	1.25	1.58993352322121e-07	Overexpression
10	80853736	80854236	-0.079098577111382	2.08269006133109e-06	Hypermethylation	ZMIZ1	0.61	2.28571381558482e-16	lowexpression
13	100577701	100579715	0.118930642649659	2.48161188469831e-19	Hypomethylation	ZIC5	71.24	1.07248524415351e-14	Overexpression
14	74249210	74252628	-0.044129076762775	7.63308754945751e-05	Hypermethylation	C14orf43	0.66	1.29895094456151e-09	lowexpression
6	33219010	33220298	0.0316396898073441	6.74117182189426e-08	Hypomethylation	VPS52	1.25	2.45688138377103e-24	Overexpression
5	252094	253015	0.0657062692050428	5.73042426893083e-13	Hypomethylation	SDHA	1.6	2.64259842604722e-49	Overexpression
14	74249210	74252628	-0.044129076762775	7.63308754945751e-05	Hypermethylation	C14orf43	0.66	1.29895094456151e-09	lowexpression
11	68118027	68119801	0.0296112702442572	1.24687643430711e-10	Hypomethylation	LRP5	1.25	1.58993352322121e-07	Overexpression
2	69001458	69002192	-0.0630070396834743	6.83602129630069e-13	Hypermethylation	ARHGAP25	0.52	1.50574707126711e-19	lowexpression
2	235936276	235936678	0.279123811048237	6.28006801968511e-47	Hypomethylation	SH3BP4	1.25	1.14802803968095e-06	Overexpression
