HR	CI	P.value	PH_test_Pvalue	LR_test_pvalue	Best_split	Name	CHR	MAPINFO	UCSC_RefGene_Name	UCSC_RefGene_Group	Relation_to_UCSC_CpG_Island	adj.P.value
0.298	(0.2;0.442)	1.85E-09	0.47	5.57E-09	q25	cg09025071	16	1593152	IFT140;TMEM204	Body	S_Shore	0.000337253
0.295	(0.199;0.438)	1.23E-09	0.115	5.43E-09	q25	cg23200466	5	171290951	FBXW11	3'UTR	Open_Sea	0.000337253
0.313	(0.212;0.464)	6.44E-09	0.475	1.18E-08	mean	cg00005740	13	24079418	Unknown	Unknown	Open_Sea	0.000781857
0.319	(0.216;0.472)	9.94E-09	0.132	3.13E-08	q25	cg14590070	13	113629249	MCF2L	Body	Open_Sea	0.000904084
0.318	(0.213;0.474)	1.99E-08	0.551	1.11E-07	q25	cg02282892	5	34042976	C1QTNF3	Body;1stExon	Open_Sea	0.001419852
0.323	(0.217;0.481)	2.73E-08	0.057	8.18E-08	q25	cg03268697	17	75160330	SEC14L1	Body	Open_Sea	0.001419852
0.329	(0.223;0.487)	2.50E-08	0.669	3.94E-08	mean	cg05453924	13	24079390	Unknown	Unknown	Open_Sea	0.001419852
0.329	(0.221;0.49)	4.72E-08	0.977	3.84E-08	mean	cg26235659	15	72102890	NR2E3	TSS200	N_Shore	0.002145874
0.338	(0.228;0.5)	5.83E-08	0.847	7.78E-08	mean	cg05337753	17	75373407	9-Sep	5'UTR;Body	S_Shelf	0.002356222
0.341	(0.23;0.504)	6.96E-08	0.001	9.03E-08	mean	cg00953309	1	16460784	EPHA2	Body	N_Shelf	0.002532432
0.337	(0.226;0.502)	9.66E-08	0.239	2.72E-07	q25	cg26302986	7	90291360	Unknown	Unknown	Open_Sea	0.003195891
0.35	(0.235;0.522)	2.56E-07	0.113	1.61E-07	mean	cg00991994	3	99639553	C3orf26;FILIP1L;MIR548G	Body	Open_Sea	0.003309239
0.346	(0.231;0.517)	2.34E-07	0.266	7.64E-07	q25	cg01883046	2	174890420	Unknown	Unknown	Island	0.003309239
0.353	(0.239;0.523)	1.95E-07	0.516	4.82E-07	q25	cg04091768	5	149900791	NDST1	5'UTR	Open_Sea	0.003309239
0.347	(0.234;0.514)	1.43E-07	0.617	4.64E-07	q25	cg06223926	10	33626522	Unknown	Unknown	S_Shore	0.003309239
0.349	(0.235;0.519)	1.92E-07	0.034	5.29E-07	q25	cg06611426	12	52404161	GRASP	Body	S_Shelf	0.003309239
0.352	(0.238;0.523)	2.14E-07	0.386	7.33E-07	q25	cg09470010	10	104094152	GBF1	Body	Open_Sea	0.003309239
0.356	(0.24;0.526)	2.25E-07	0.268	6.01E-07	q25	cg12208899	11	45898047	CRY2	3'UTR	Open_Sea	0.003309239
0.332	(0.22;0.501)	1.56E-07	0.221	4.94E-08	mean	cg13404038	9	126123344	CRB2	Body	Open_Sea	0.003309239
0.354	(0.239;0.525)	2.42E-07	0.614	6.80E-07	q25	cg13858803	9	33140269	B4GALT1	Body	Open_Sea	0.003309239
0.349	(0.235;0.517)	1.66E-07	0.095	5.28E-07	q25	cg14815086	15	68492786	CALML4	Body	Open_Sea	0.003309239
0.355	(0.24;0.526)	2.46E-07	0.377	7.65E-07	q25	cg18285188	1	179558954	Unknown	Unknown	N_Shore	0.003309239
0.355	(0.24;0.525)	2.19E-07	0.795	2.00E-07	mean	cg19576422	10	12256343	CDC123	Body	Open_Sea	0.003309239
0.356	(0.241;0.527)	2.36E-07	0.064	4.31E-07	q25	cg20009461	17	80560634	FOXK2	3'UTR	S_Shore	0.003309239
0.352	(0.238;0.522)	1.83E-07	0.232	1.98E-07	mean	cg20950633	3	15540137	COLQ	Body;1stExon;5'UTR	Open_Sea	0.003309239
0.343	(0.23;0.51)	1.33E-07	0.302	4.65E-07	q25	cg23089425	8	19034837	Unknown	Unknown	Open_Sea	0.003309239
0.346	(0.234;0.513)	1.24E-07	0.362	3.57E-07	q25	cg25406989	15	48936335	FBN1	Body	N_Shore	0.003309239
2.851	(1.927;4.22)	1.62E-07	0.156	2.79E-07	q75	cg26327040	12	131561080	GPR133	Body	Open_Sea	0.003309239
3.028	(1.986;4.617)	2.64E-07	0.729	6.09E-08	mean	ch.1.24684R	1	1190026	UBE2J2	3'UTR	Island	0.003309239
0.355	(0.239;0.528)	3.15E-07	0.592	2.18E-07	mean	cg16811988	3	42103138	Unknown	Unknown	Open_Sea	0.003818788
0.353	(0.237;0.527)	3.36E-07	0.575	1.93E-07	mean	cg14632507	3	73468875	PDZRN3	Body	Open_Sea	0.003949615
0.318	(0.204;0.495)	3.93E-07	0.411	5.71E-08	median	cg06024930	12	121890328	KDM2B	Body	Island	0.004179001
0.359	(0.241;0.534)	4.20E-07	0.44	1.25E-06	mean	cg06819251	6	31977599	TNXB;TNXA	Body	Open_Sea	0.004179001
0.362	(0.244;0.536)	4.14E-07	0.008	9.17E-07	q25	cg08274637	13	51417923	DLEU7	TSS200	Island	0.004179001
0.367	(0.248;0.541)	4.20E-07	0.423	5.29E-07	mean	cg08523694	5	57076192	Unknown	Unknown	Open_Sea	0.004179001
2.817	(1.886;4.208)	4.25E-07	0.67	1.45E-06	q75	cg18876826	1	38396334	INPP5B	Body	N_Shore	0.004179001
2.776	(1.872;4.118)	3.85E-07	0.46	8.42E-07	q75	cg25680486	7	100203114	PCOLCE	Body	Island	0.004179001
0.364	(0.246;0.539)	4.50E-07	0.671	1.18E-06	q25	cg01574788	16	12184133	SNX29	Body	Open_Sea	0.004194764
0.317	(0.203;0.495)	4.47E-07	0.474	5.71E-08	median	cg06616081	15	77336938	TSPAN3	3'UTR	Open_Sea	0.004194764
0.362	(0.244;0.537)	4.65E-07	0.944	1.41E-06	q25	cg02153681	2	20714818	Unknown	Unknown	Open_Sea	0.004229205
0.322	(0.207;0.501)	4.80E-07	0.798	7.23E-08	median	cg03876150	2	102369368	MAP4K4	Body	Open_Sea	0.00423271
0.369	(0.25;0.544)	4.88E-07	0.111	8.24E-07	mean	cg22100563	20	62505188	TPD52L2	Body	N_Shelf	0.00423271
0.365	(0.246;0.541)	5.32E-07	0.02	1.63E-06	q25	cg04812351	4	73177995	ADAMTS3	Body	Open_Sea	0.004399752
0.365	(0.246;0.541)	5.22E-07	0.004	1.32E-06	q25	cg14582550	9	97786879	C9orf3	Body	Open_Sea	0.004399752
0.363	(0.244;0.54)	5.56E-07	0.357	1.32E-06	q25	cg15646463	2	51446925	Unknown	Unknown	Open_Sea	0.004493928
0.358	(0.239;0.536)	5.95E-07	0.013	1.89E-06	q25	cg16707227	2	19157847	Unknown	Unknown	Open_Sea	0.004704192
0.371	(0.25;0.549)	6.95E-07	0.172	1.61E-06	q25	cg06012347	11	65066368	Unknown	Unknown	Open_Sea	0.004774906
0.371	(0.251;0.549)	6.72E-07	0.449	1.16E-06	mean	cg06234511	12	83953441	Unknown	Unknown	Open_Sea	0.004774906
0.364	(0.245;0.543)	6.62E-07	0.375	1.83E-06	q25	cg16411103	13	33752544	STARD13	5'UTR;Body	Open_Sea	0.004774906
0.343	(0.225;0.523)	6.51E-07	0.706	1.95E-07	median	cg19388273	3	150064304	Unknown	Unknown	Open_Sea	0.004774906
0.371	(0.251;0.549)	6.82E-07	0.697	1.65E-06	q25	cg23068558	15	63220652	Unknown	Unknown	Open_Sea	0.004774906
0.328	(0.211;0.509)	6.76E-07	0.979	1.08E-07	median	cg23972735	12	121890311	KDM2B	Body	Island	0.004774906
0.371	(0.251;0.549)	6.91E-07	0.507	1.64E-06	q25	cg27526649	1	208132004	Unknown	Unknown	N_Shore	0.004774906
