	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7
cg05979020	chr2	176981186	176981487	0.012346254	0.000304665	0.001583497	2.972608483	HOXD10	chr2	176981336	176981337	cg05979020	HOXD10	Island	I
cg17780246	chr19	54481317	54481618	0.015532412	0.000422454	0.001998965	2.808196242	CACNG8	chr19	54481467	54481468	cg17780246	CACNG8	Island	I
cg26595643	chr10	118899141	118899442	0.010466021	0.00011014	0.00123308	2.276469776	VAX1	chr10	118899291	118899292	cg26595643	VAX1	Island	I
cg06757405	chr5	140789300	140789601	0.006571033	9.86E-05	0.000784302	2.150767733	PCDHGA4	chr5	140789450	140789451	cg06757405	PCDHGA4	Island	I
cg18115040	chr2	176981178	176981479	0.007400572	0.000510041	0.001229671	2.020849321	HOXD10	chr2	176981328	176981329	cg18115040	HOXD10	Island	I
cg18694169	chr6	28226929	28227230	0.012907621	0.000229693	0.001547911	1.996918698	NKAPL	chr6	28227079	28227080	cg18694169	NKAPL	Island	I
cg26444528	chr13	58207709	58208010	0.004632531	0.000474002	0.000950972	1.976908256	PCDH17	chr13	58207859	58207860	cg26444528	PCDH17	Island	I
cg00579520	chr12	128752436	128752737	0.005154261	0.000184211	0.000692783	1.831670851	TMEM132C	chr12	128752586	128752587	cg00579520	TMEM132C	Island	II
cg09639151	chr5	140810770	140811071	0.000734481	-2.84E-05	5.59E-05	1.670947699	PCDHGA4	chr5	140810920	140810921	cg09639151	PCDHGA4	Island	I
cg11084334	chr3	9594114	9594415	0.00636337	0.000189343	0.000890922	1.620288874	LHFPL4	chr3	9594264	9594265	cg11084334	LHFPL4	Island	II
cg09523275	chr6	28226943	28227244	0.001382255	0.000350447	0.000450951	1.52921791	NKAPL	chr6	28227093	28227094	cg09523275	NKAPL	Island	II
cg05937737	chr3	170303390	170303691	0.005003905	9.57E-05	0.000681326	1.44766743	SLC7A14	chr3	170303540	170303541	cg05937737	SLC7A14	Island	I
cg02655630	chr20	44658791	44659092	0.004228516	0.000725579	0.001111946	1.434804779	SLC12A5	chr20	44658941	44658942	cg02655630	SLC12A5	Island	II
cg22400015	chr2	220196564	220196865	0.004120203	6.18E-05	0.000500929	1.409387154	RESP18	chr2	220196714	220196715	cg22400015	RESP18	Island	I
cg08523865	chr2	124782103	124782404	0.003732873	6.15E-05	0.000478295	1.355622328	CNTNAP5	chr2	124782253	124782254	cg08523865	CNTNAP5	Island	II
cg08833577	chr10	118899138	118899439	0.010190256	-8.17E-05	0.000973437	1.245342984	VAX1	chr10	118899288	118899289	cg08833577	VAX1	Island	I
cg07852825	chr3	172166032	172166333	0.002595669	0.000142047	0.000407543	1.213627728	GHSR	chr3	172166182	172166183	cg07852825	GHSR	Island	II
cg12265623	chr7	8481844	8482145	0.005352063	-3.11E-06	0.000620709	1.195275782	NXPH1	chr7	8481994	8481995	cg12265623	NXPH1	Island	II
cg05336395	chr13	53421538	53421839	0.001818549	0.000115193	0.000277543	1.135709072	PCDH8	chr13	53421688	53421689	cg05336395	PCDH8	Island	I
cg00181439	chr6	78172541	78172842	0.002722632	0.000119512	0.000380326	1.126073733	HTR1B	chr6	78172691	78172692	cg00181439	HTR1B	Island	II
cg15541630	chr8	87081620	87081921	0.000868008	8.27E-05	0.000165092	0.975245771	PSKH2	chr8	87081770	87081771	cg15541630	PSKH2	Island	I
cg15157455	chr1	149400142	149400443	0.004128199	-5.85E-06	0.000415	0.929103376	HIST2H2BF	chr1	149400292	149400293	cg15157455	HIST2H2BF	Island	I
